municipality_code,geographic_level,state_abbreviation,municipality_name,land_use_purpose,income_bracket,association_status,number_of_agricultural_establishments,total_area_in_hectares
3147808,7,MG,Passa Vinte,Total,Total,Total,216,10007.0
3147907,7,MG,Passos,Total,Total,Total,1528,103103.0
3147956,7,MG,Patis,Total,Total,Total,389,25128.0
3148004,7,MG,Patos de Minas,Total,Total,Total,3779,245030.0
3148103,7,MG,Patrocínio,Total,Total,Total,2810,193445.0
3148202,7,MG,Patrocínio do Muriaé,Total,Total,Total,699,10403.0
3148301,7,MG,Paula Cândido,Total,Total,Total,884,16798.0
3148400,7,MG,Paulistas,Total,Total,Total,268,16047.0
3148509,7,MG,Pavão,Total,Total,Total,538,59911.0
3148608,7,MG,Peçanha,Total,Total,Total,1261,71476.0
3148707,7,MG,Pedra Azul,Total,Total,Total,671,117527.0
3148756,7,MG,Pedra Bonita,Total,Total,Total,1353,10333.0
3148806,7,MG,Pedra do Anta,Total,Total,Total,448,11672.0
3148905,7,MG,Pedra do Indaiá,Total,Total,Total,578,23494.0
3149002,7,MG,Pedra Dourada,Total,Total,Total,259,4975.0
3149101,7,MG,Pedralva,Total,Total,Total,870,13292.0
3149150,7,MG,Pedras de Maria da Cruz,Total,Total,Total,1024,122044.0
3149200,7,MG,Pedrinópolis,Total,Total,Total,176,30358.0
3149309,7,MG,Pedro Leopoldo,Total,Total,Total,184,14294.0
3149408,7,MG,Pedro Teixeira,Total,Total,Total,165,7475.0
3149507,7,MG,Pequeri,Total,Total,Total,107,10032.0
3149606,7,MG,Pequi,Total,Total,Total,244,13865.0
3149705,7,MG,Perdigão,Total,Total,Total,407,15197.0
3149804,7,MG,Perdizes,Total,Total,Total,1319,166985.0
3149903,7,MG,Perdões,Total,Total,Total,703,21666.0
3149952,7,MG,Periquito,Total,Total,Total,160,17215.0
3150000,7,MG,Pescador,Total,Total,Total,167,27351.0
3150109,7,MG,Piau,Total,Total,Total,280,12596.0
3150158,7,MG,Piedade de Caratinga,Total,Total,Total,533,9604.0
3150208,7,MG,Piedade de Ponte Nova,Total,Total,Total,111,7237.0
3150307,7,MG,Piedade do Rio Grande,Total,Total,Total,204,15385.0
3150406,7,MG,Piedade dos Gerais,Total,Total,Total,700,11881.0
3150505,7,MG,Pimenta,Total,Total,Total,629,29547.0
3150539,7,MG,Pingo-d'Água,Total,Total,Total,108,4928.0
3150570,7,MG,Pintópolis,Total,Total,Total,1145,67890.0
3150604,7,MG,Piracema,Total,Total,Total,482,14326.0
3150703,7,MG,Pirajuba,Total,Total,Total,79,31956.0
3150802,7,MG,Piranga,Total,Total,Total,2324,30744.0
3150901,7,MG,Piranguçu,Total,Total,Total,551,11384.0
3151008,7,MG,Piranguinho,Total,Total,Total,426,10033.0
3151107,7,MG,Pirapetinga,Total,Total,Total,211,14255.0
3151206,7,MG,Pirapora,Total,Total,Total,269,35895.0
3151305,7,MG,Piraúba,Total,Total,Total,423,9498.0
3151404,7,MG,Pitangui,Total,Total,Total,494,40090.0
3151503,7,MG,Piumhi,Total,Total,Total,928,67395.0
3151602,7,MG,Planura,Total,Total,Total,112,21873.0
3151701,7,MG,Poço Fundo,Total,Total,Total,1972,37130.0
3151800,7,MG,Poços de Caldas,Total,Total,Total,296,37592.0
3151909,7,MG,Pocrane,Total,Total,Total,990,57297.0
3152006,7,MG,Pompéu,Total,Total,Total,815,175127.0
3152105,7,MG,Ponte Nova,Total,Total,Total,1006,31825.0
3152131,7,MG,Ponto Chique,Total,Total,Total,248,32847.0
3152170,7,MG,Ponto dos Volantes,Total,Total,Total,1053,64156.0
3152204,7,MG,Porteirinha,Total,Total,Total,3241,97777.0
3152303,7,MG,Porto Firme,Total,Total,Total,1123,18718.0
3152402,7,MG,Poté,Total,Total,Total,1056,44613.0
3152501,7,MG,Pouso Alegre,Total,Total,Total,1954,32033.0
3152600,7,MG,Pouso Alto,Total,Total,Total,548,15878.0
3152709,7,MG,Prados,Total,Total,Total,344,12746.0
3152808,7,MG,Prata,Total,Total,Total,1793,392156.0
3152907,7,MG,Pratápolis,Total,Total,Total,451,15494.0
3153004,7,MG,Pratinha,Total,Total,Total,471,37766.0
3153103,7,MG,Presidente Bernardes,Total,Total,Total,875,13509.0
3153202,7,MG,Presidente Juscelino,Total,Total,Total,167,34022.0
3153301,7,MG,Presidente Kubitschek,Total,Total,Total,107,6686.0
3153400,7,MG,Presidente Olegário,Total,Total,Total,2406,260400.0
3153509,7,MG,Alto Jequitibá,Total,Total,Total,679,11376.0
3153608,7,MG,Prudente de Morais,Total,Total,Total,58,8586.0
3153707,7,MG,Quartel Geral,Total,Total,Total,368,46156.0
3153806,7,MG,Queluzito,Total,Total,Total,193,6436.0
3153905,7,MG,Raposos,Total,Total,Total,18,314.0
3154002,7,MG,Raul Soares,Total,Total,Total,2332,63260.0
3154101,7,MG,Recreio,Total,Total,Total,253,18948.0
3154150,7,MG,Reduto,Total,Total,Total,393,9537.0
3154200,7,MG,Resende Costa,Total,Total,Total,935,35825.0
3154309,7,MG,Resplendor,Total,Total,Total,945,79945.0
3154408,7,MG,Ressaquinha,Total,Total,Total,362,10645.0
3154457,7,MG,Riachinho,Total,Total,Total,994,145853.0
3154507,7,MG,Riacho dos Machados,Total,Total,Total,1230,73462.0
3154606,7,MG,Ribeirão das Neves,Total,Total,Total,142,4326.0
3154705,7,MG,Ribeirão Vermelho,Total,Total,Total,94,3183.0
3154804,7,MG,Rio Acima,Total,Total,Total,97,3642.0
3154903,7,MG,Rio Casca,Total,Total,Total,425,35964.0
3155009,7,MG,Rio Doce,Total,Total,Total,194,8666.0
3155108,7,MG,Rio do Prado,Total,Total,Total,275,30072.0
3155207,7,MG,Rio Espera,Total,Total,Total,1128,14217.0
3155306,7,MG,Rio Manso,Total,Total,Total,389,8581.0
3155405,7,MG,Rio Novo,Total,Total,Total,220,14931.0
3155504,7,MG,Rio Paranaíba,Total,Total,Total,1080,105902.0
3155603,7,MG,Rio Pardo de Minas,Total,Total,Total,3429,144153.0
3155702,7,MG,Rio Piracicaba,Total,Total,Total,411,18566.0
3155801,7,MG,Rio Pomba,Total,Total,Total,531,15249.0
3155900,7,MG,Rio Preto,Total,Total,Total,297,23699.0
3156007,7,MG,Rio Vermelho,Total,Total,Total,1088,58926.0
3156106,7,MG,Ritápolis,Total,Total,Total,367,24205.0
3156205,7,MG,Rochedo de Minas,Total,Total,Total,71,5027.0
3156304,7,MG,Rodeiro,Total,Total,Total,123,4247.0
3156403,7,MG,Romaria,Total,Total,Total,196,32038.0
3156452,7,MG,Rosário da Limeira,Total,Total,Total,399,5886.0
3156502,7,MG,Rubelita,Total,Total,Total,1219,89241.0
3156601,7,MG,Rubim,Total,Total,Total,748,71482.0
3156700,7,MG,Sabará,Total,Total,Total,229,3998.0
3156809,7,MG,Sabinópolis,Total,Total,Total,1300,73989.0
3156908,7,MG,Sacramento,Total,Total,Total,1312,224041.0
3157005,7,MG,Salinas,Total,Total,Total,1970,105862.0
3157104,7,MG,Salto da Divisa,Total,Total,Total,325,85430.0
3157203,7,MG,Santa Bárbara,Total,Total,Total,297,22469.0
3157252,7,MG,Santa Bárbara do Leste,Total,Total,Total,973,9092.0
3157278,7,MG,Santa Bárbara do Monte Verde,Total,Total,Total,291,24439.0
3157302,7,MG,Santa Bárbara do Tugúrio,Total,Total,Total,526,13655.0
3157336,7,MG,Santa Cruz de Minas,Total,Total,Total,1,
3157377,7,MG,Santa Cruz de Salinas,Total,Total,Total,877,29463.0
3157401,7,MG,Santa Cruz do Escalvado,Total,Total,Total,402,17491.0
3157500,7,MG,Santa Efigênia de Minas,Total,Total,Total,201,8028.0
3157609,7,MG,Santa Fé de Minas,Total,Total,Total,500,180976.0
3157658,7,MG,Santa Helena de Minas,Total,Total,Total,293,23598.0
3157708,7,MG,Santa Juliana,Total,Total,Total,367,52983.0
3157807,7,MG,Santa Luzia,Total,Total,Total,220,6928.0
3157906,7,MG,Santa Margarida,Total,Total,Total,2068,20286.0
3158003,7,MG,Santa Maria de Itabira,Total,Total,Total,623,35782.0
3158102,7,MG,Santa Maria do Salto,Total,Total,Total,339,26582.0
3158201,7,MG,Santa Maria do Suaçuí,Total,Total,Total,694,37583.0
3158300,7,MG,Santana da Vargem,Total,Total,Total,363,15150.0
3158409,7,MG,Santana de Cataguases,Total,Total,Total,450,15777.0
3158508,7,MG,Santana de Pirapama,Total,Total,Total,1123,59969.0
3158607,7,MG,Santana do Deserto,Total,Total,Total,69,14127.0
3158706,7,MG,Santana do Garambéu,Total,Total,Total,155,11254.0
3158805,7,MG,Santana do Jacaré,Total,Total,Total,129,8179.0
3158904,7,MG,Santana do Manhuaçu,Total,Total,Total,1215,26718.0
3158953,7,MG,Santana do Paraíso,Total,Total,Total,215,18319.0
3159001,7,MG,Santana do Riacho,Total,Total,Total,240,19125.0
3159100,7,MG,Santana dos Montes,Total,Total,Total,459,9697.0
3159209,7,MG,Santa Rita de Caldas,Total,Total,Total,1116,38041.0
3159308,7,MG,Santa Rita de Jacutinga,Total,Total,Total,483,29959.0
3159357,7,MG,Santa Rita de Minas,Total,Total,Total,263,5760.0
3159407,7,MG,Santa Rita de Ibitipoca,Total,Total,Total,388,19730.0
3159506,7,MG,Santa Rita do Itueto,Total,Total,Total,731,33520.0
3159605,7,MG,Santa Rita do Sapucaí,Total,Total,Total,898,25835.0
3159704,7,MG,Santa Rosa da Serra,Total,Total,Total,426,24088.0
3159803,7,MG,Santa Vitória,Total,Total,Total,972,234571.0
3159902,7,MG,Santo Antônio do Amparo,Total,Total,Total,529,36334.0
3160009,7,MG,Santo Antônio do Aventureiro,Total,Total,Total,314,16733.0
3160108,7,MG,Santo Antônio do Grama,Total,Total,Total,239,11399.0
3160207,7,MG,Santo Antônio do Itambé,Total,Total,Total,192,12097.0
3160306,7,MG,Santo Antônio do Jacinto,Total,Total,Total,1099,37234.0
3160405,7,MG,Santo Antônio do Monte,Total,Total,Total,1341,83261.0
3160454,7,MG,Santo Antônio do Retiro,Total,Total,Total,874,17591.0
3160504,7,MG,Santo Antônio do Rio Abaixo,Total,Total,Total,156,6706.0
3160603,7,MG,Santo Hipólito,Total,Total,Total,154,37368.0
3160702,7,MG,Santos Dumont,Total,Total,Total,541,38617.0
3160801,7,MG,São Bento Abade,Total,Total,Total,72,5565.0
3160900,7,MG,São Brás do Suaçuí,Total,Total,Total,134,3531.0
3160959,7,MG,São Domingos das Dores,Total,Total,Total,625,4071.0
3161007,7,MG,São Domingos do Prata,Total,Total,Total,1165,43043.0
3161056,7,MG,São Félix de Minas,Total,Total,Total,302,11345.0
3161106,7,MG,São Francisco,Total,Total,Total,4207,180163.0
3161205,7,MG,São Francisco de Paula,Total,Total,Total,460,24002.0
3161304,7,MG,São Francisco de Sales,Total,Total,Total,456,78241.0
3161403,7,MG,São Francisco do Glória,Total,Total,Total,408,12644.0
3161502,7,MG,São Geraldo,Total,Total,Total,460,11989.0
3161601,7,MG,São Geraldo da Piedade,Total,Total,Total,300,12912.0
3161650,7,MG,São Geraldo do Baixio,Total,Total,Total,296,23468.0
3161700,7,MG,São Gonçalo do Abaeté,Total,Total,Total,396,178905.0
3161809,7,MG,São Gonçalo do Pará,Total,Total,Total,390,16652.0
3161908,7,MG,São Gonçalo do Rio Abaixo,Total,Total,Total,445,15914.0
3162005,7,MG,São Gonçalo do Sapucaí,Total,Total,Total,576,40388.0
3162104,7,MG,São Gotardo,Total,Total,Total,998,65156.0
3162203,7,MG,São João Batista do Glória,Total,Total,Total,354,31212.0
3162252,7,MG,São João da Lagoa,Total,Total,Total,779,62379.0
3162302,7,MG,São João da Mata,Total,Total,Total,307,9225.0
3162401,7,MG,São João da Ponte,Total,Total,Total,3311,143516.0
3162450,7,MG,São João das Missões,Total,Total,Total,1205,16929.0
3162500,7,MG,São João del Rei,Total,Total,Total,953,60801.0
3162559,7,MG,São João do Manhuaçu,Total,Total,Total,914,8902.0
3162575,7,MG,São João do Manteninha,Total,Total,Total,236,11043.0
3162609,7,MG,São João do Oriente,Total,Total,Total,315,9303.0
3162658,7,MG,São João do Pacuí,Total,Total,Total,458,30081.0
3162708,7,MG,São João do Paraíso,Total,Total,Total,2695,105741.0
3162807,7,MG,São João Evangelista,Total,Total,Total,659,37296.0
3162906,7,MG,São João Nepomuceno,Total,Total,Total,612,27940.0
3162922,7,MG,São Joaquim de Bicas,Total,Total,Total,120,1734.0
3162948,7,MG,São José da Barra,Total,Total,Total,447,19376.0
3162955,7,MG,São José da Lapa,Total,Total,Total,31,1001.0
3163003,7,MG,São José da Safira,Total,Total,Total,81,18148.0
3163102,7,MG,São José da Varginha,Total,Total,Total,258,16646.0
3163201,7,MG,São José do Alegre,Total,Total,Total,237,6102.0
3163300,7,MG,São José do Divino,Total,Total,Total,337,30770.0
3163409,7,MG,São José do Goiabal,Total,Total,Total,437,22255.0
3163508,7,MG,São José do Jacuri,Total,Total,Total,651,25241.0
3163607,7,MG,São José do Mantimento,Total,Total,Total,296,4272.0
3163706,7,MG,São Lourenço,Total,Total,Total,76,2817.0
3163805,7,MG,São Miguel do Anta,Total,Total,Total,846,12310.0
3163904,7,MG,São Pedro da União,Total,Total,Total,1049,23621.0
3164001,7,MG,São Pedro dos Ferros,Total,Total,Total,369,37805.0
3164100,7,MG,São Pedro do Suaçuí,Total,Total,Total,375,20837.0
3164209,7,MG,São Romão,Total,Total,Total,725,147315.0
3164308,7,MG,São Roque de Minas,Total,Total,Total,1055,86696.0
3164407,7,MG,São Sebastião da Bela Vista,Total,Total,Total,275,12156.0
3164431,7,MG,São Sebastião da Vargem Alegre,Total,Total,Total,516,6317.0
3164472,7,MG,São Sebastião do Anta,Total,Total,Total,599,5433.0
3164506,7,MG,São Sebastião do Maranhão,Total,Total,Total,1155,29040.0
3164605,7,MG,São Sebastião do Oeste,Total,Total,Total,798,29761.0
3164704,7,MG,São Sebastião do Paraíso,Total,Total,Total,1115,60127.0
3164803,7,MG,São Sebastião do Rio Preto,Total,Total,Total,261,8643.0
3164902,7,MG,São Sebastião do Rio Verde,Total,Total,Total,280,6983.0
3165008,7,MG,São Tiago,Total,Total,Total,908,35443.0
3165107,7,MG,São Tomás de Aquino,Total,Total,Total,444,19842.0
3165206,7,MG,São Tomé das Letras,Total,Total,Total,432,17116.0
3165305,7,MG,São Vicente de Minas,Total,Total,Total,226,25690.0
3165404,7,MG,Sapucaí-Mirim,Total,Total,Total,289,18497.0
3165503,7,MG,Sardoá,Total,Total,Total,313,8567.0
3165537,7,MG,Sarzedo,Total,Total,Total,72,980.0
3165552,7,MG,Setubinha,Total,Total,Total,1279,31384.0
3165560,7,MG,Sem-Peixe,Total,Total,Total,421,11447.0
3165578,7,MG,Senador Amaral,Total,Total,Total,590,6776.0
3165602,7,MG,Senador Cortes,Total,Total,Total,115,7341.0
3165701,7,MG,Senador Firmino,Total,Total,Total,226,6323.0
3165800,7,MG,Senador José Bento,Total,Total,Total,272,5361.0
3165909,7,MG,Senador Modestino Gonçalves,Total,Total,Total,771,46464.0
3166006,7,MG,Senhora de Oliveira,Total,Total,Total,307,8318.0
3166105,7,MG,Senhora do Porto,Total,Total,Total,286,25175.0
3166204,7,MG,Senhora dos Remédios,Total,Total,Total,1100,12815.0
3166303,7,MG,Sericita,Total,Total,Total,766,11511.0
3166402,7,MG,Seritinga,Total,Total,Total,106,6057.0
3166501,7,MG,Serra Azul de Minas,Total,Total,Total,354,14005.0
3166600,7,MG,Serra da Saudade,Total,Total,Total,156,30488.0
3166709,7,MG,Serra dos Aimorés,Total,Total,Total,100,17800.0
3166808,7,MG,Serra do Salitre,Total,Total,Total,918,95825.0
3166907,7,MG,Serrania,Total,Total,Total,227,17400.0
3166956,7,MG,Serranópolis de Minas,Total,Total,Total,713,24487.0
3167004,7,MG,Serranos,Total,Total,Total,171,15816.0
3167103,7,MG,Serro,Total,Total,Total,1683,48149.0
3167202,7,MG,Sete Lagoas,Total,Total,Total,651,25458.0
3167301,7,MG,Silveirânia,Total,Total,Total,236,11969.0
3167400,7,MG,Silvianópolis,Total,Total,Total,1053,26743.0
3167509,7,MG,Simão Pereira,Total,Total,Total,64,10346.0
3167608,7,MG,Simonésia,Total,Total,Total,2431,35216.0
3167707,7,MG,Sobrália,Total,Total,Total,417,17623.0
3167806,7,MG,Soledade de Minas,Total,Total,Total,497,13839.0
3167905,7,MG,Tabuleiro,Total,Total,Total,272,12968.0
3168002,7,MG,Taiobeiras,Total,Total,Total,1160,80170.0
3168051,7,MG,Taparuba,Total,Total,Total,333,14564.0
3168101,7,MG,Tapira,Total,Total,Total,447,73901.0
3168200,7,MG,Tapiraí,Total,Total,Total,328,30212.0
3168309,7,MG,Taquaraçu de Minas,Total,Total,Total,203,14868.0
3168408,7,MG,Tarumirim,Total,Total,Total,955,53796.0
3168507,7,MG,Teixeiras,Total,Total,Total,722,10568.0
3168606,7,MG,Teófilo Otoni,Total,Total,Total,2717,235159.0
3168705,7,MG,Timóteo,Total,Total,Total,70,1621.0
3168804,7,MG,Tiradentes,Total,Total,Total,103,2735.0
3168903,7,MG,Tiros,Total,Total,Total,1110,121647.0
3169000,7,MG,Tocantins,Total,Total,Total,569,11873.0
3169059,7,MG,Tocos do Moji,Total,Total,Total,617,8060.0
3169109,7,MG,Toledo,Total,Total,Total,523,7197.0
3169208,7,MG,Tombos,Total,Total,Total,586,25054.0
3169307,7,MG,Três Corações,Total,Total,Total,859,56471.0
3169356,7,MG,Três Marias,Total,Total,Total,348,139334.0
3169406,7,MG,Três Pontas,Total,Total,Total,1091,50217.0
3169505,7,MG,Tumiritinga,Total,Total,Total,461,41688.0
3169604,7,MG,Tupaciguara,Total,Total,Total,642,127593.0
3169703,7,MG,Turmalina,Total,Total,Total,1247,57108.0
3169802,7,MG,Turvolândia,Total,Total,Total,559,17120.0
3169901,7,MG,Ubá,Total,Total,Total,541,19601.0
3170008,7,MG,Ubaí,Total,Total,Total,1024,63348.0
3170057,7,MG,Ubaporanga,Total,Total,Total,1018,14066.0
3170107,7,MG,Uberaba,Total,Total,Total,2073,377414.0
3170206,7,MG,Uberlândia,Total,Total,Total,2706,298749.0
3170305,7,MG,Umburatiba,Total,Total,Total,167,33820.0
3170404,7,MG,Unaí,Total,Total,Total,3849,616361.0
3170438,7,MG,União de Minas,Total,Total,Total,511,105945.0
3170479,7,MG,Uruana de Minas,Total,Total,Total,479,38567.0
3170503,7,MG,Urucânia,Total,Total,Total,233,9077.0
3170529,7,MG,Urucuia,Total,Total,Total,1334,149069.0
3170578,7,MG,Vargem Alegre,Total,Total,Total,269,7675.0
3170602,7,MG,Vargem Bonita,Total,Total,Total,181,26091.0
3170651,7,MG,Vargem Grande do Rio Pardo,Total,Total,Total,517,38027.0
3170701,7,MG,Varginha,Total,Total,Total,462,28483.0
3170750,7,MG,Varjão de Minas,Total,Total,Total,323,48454.0
3170800,7,MG,Várzea da Palma,Total,Total,Total,766,158115.0
3170909,7,MG,Varzelândia,Total,Total,Total,1139,37105.0
3171006,7,MG,Vazante,Total,Total,Total,990,152183.0
3171030,7,MG,Verdelândia,Total,Total,Total,745,142694.0
3171071,7,MG,Veredinha,Total,Total,Total,684,37499.0
3171105,7,MG,Veríssimo,Total,Total,Total,523,84777.0
3171154,7,MG,Vermelho Novo,Total,Total,Total,732,8888.0
3171204,7,MG,Vespasiano,Total,Total,Total,37,818.0
3171303,7,MG,Viçosa,Total,Total,Total,909,14901.0
3171402,7,MG,Vieiras,Total,Total,Total,595,9204.0
3171501,7,MG,Mathias Lobato,Total,Total,Total,84,16684.0
3171600,7,MG,Virgem da Lapa,Total,Total,Total,1108,42213.0
3171709,7,MG,Virgínia,Total,Total,Total,1146,25309.0
3171808,7,MG,Virginópolis,Total,Total,Total,529,29187.0
3171907,7,MG,Virgolândia,Total,Total,Total,365,22081.0
3172004,7,MG,Visconde do Rio Branco,Total,Total,Total,800,15232.0
3172103,7,MG,Volta Grande,Total,Total,Total,131,17532.0
3172202,7,MG,Wenceslau Braz,Total,Total,Total,173,6010.0
3200102,7,ES,Afonso Cláudio,Total,Total,Total,3136,66227.0
3200136,7,ES,Águia Branca,Total,Total,Total,1539,26502.0
3200169,7,ES,Água Doce do Norte,Total,Total,Total,1350,30732.0
3200201,7,ES,Alegre,Total,Total,Total,2318,62708.0
3200300,7,ES,Alfredo Chaves,Total,Total,Total,1799,34344.0
3200359,7,ES,Alto Rio Novo,Total,Total,Total,853,18142.0
3200409,7,ES,Anchieta,Total,Total,Total,904,25783.0
3200508,7,ES,Apiacá,Total,Total,Total,674,15449.0
3200607,7,ES,Aracruz,Total,Total,Total,1036,89263.0
3200706,7,ES,Atílio Vivácqua,Total,Total,Total,501,17325.0
3200805,7,ES,Baixo Guandu,Total,Total,Total,1216,66854.0
3200904,7,ES,Barra de São Francisco,Total,Total,Total,2748,67298.0
3201001,7,ES,Boa Esperança,Total,Total,Total,1039,31272.0
3201100,7,ES,Bom Jesus do Norte,Total,Total,Total,192,6621.0
3201159,7,ES,Brejetuba,Total,Total,Total,862,21788.0
3201209,7,ES,Cachoeiro de Itapemirim,Total,Total,Total,1968,58876.0
3201308,7,ES,Cariacica,Total,Total,Total,465,8934.0
3201407,7,ES,Castelo,Total,Total,Total,2460,45280.0
3201506,7,ES,Colatina,Total,Total,Total,2409,87857.0
3201605,7,ES,Conceição da Barra,Total,Total,Total,646,100052.0
3201704,7,ES,Conceição do Castelo,Total,Total,Total,1046,26241.0
3201803,7,ES,Divino de São Lourenço,Total,Total,Total,657,10675.0
3201902,7,ES,Domingos Martins,Total,Total,Total,4511,74029.0
3202009,7,ES,Dores do Rio Preto,Total,Total,Total,662,11715.0
3202108,7,ES,Ecoporanga,Total,Total,Total,2008,191445.0
3202207,7,ES,Fundão,Total,Total,Total,455,15498.0
3202256,7,ES,Governador Lindenberg,Total,Total,Total,1127,26249.0
3202306,7,ES,Guaçuí,Total,Total,Total,1492,38130.0
3202405,7,ES,Guarapari,Total,Total,Total,772,20205.0
3202454,7,ES,Ibatiba,Total,Total,Total,1839,18490.0
3202504,7,ES,Ibiraçu,Total,Total,Total,382,13393.0
3202553,7,ES,Ibitirama,Total,Total,Total,1117,18393.0
3202603,7,ES,Iconha,Total,Total,Total,1023,14616.0
3202652,7,ES,Irupi,Total,Total,Total,1147,13832.0
3202702,7,ES,Itaguaçu,Total,Total,Total,1626,33469.0
3202801,7,ES,Itapemirim,Total,Total,Total,997,41913.0
3202900,7,ES,Itarana,Total,Total,Total,1221,19694.0
3203007,7,ES,Iúna,Total,Total,Total,2141,28581.0
3203056,7,ES,Jaguaré,Total,Total,Total,1516,56239.0
3203106,7,ES,Jerônimo Monteiro,Total,Total,Total,797,13590.0
3203130,7,ES,João Neiva,Total,Total,Total,376,16422.0
3203163,7,ES,Laranja da Terra,Total,Total,Total,1935,33562.0
3203205,7,ES,Linhares,Total,Total,Total,2341,231619.0
3203304,7,ES,Mantenópolis,Total,Total,Total,1390,26369.0
3203320,7,ES,Marataízes,Total,Total,Total,1399,8098.0
3203346,7,ES,Marechal Floriano,Total,Total,Total,916,17124.0
3203353,7,ES,Marilândia,Total,Total,Total,804,23178.0
3203403,7,ES,Mimoso do Sul,Total,Total,Total,3200,70511.0
3203502,7,ES,Montanha,Total,Total,Total,1016,111440.0
3203601,7,ES,Mucurici,Total,Total,Total,612,60548.0
3203700,7,ES,Muniz Freire,Total,Total,Total,2379,49334.0
3203809,7,ES,Muqui,Total,Total,Total,1251,23890.0
3203908,7,ES,Nova Venécia,Total,Total,Total,3090,87904.0
3204005,7,ES,Pancas,Total,Total,Total,2000,56229.0
3204054,7,ES,Pedro Canário,Total,Total,Total,434,40348.0
3204104,7,ES,Pinheiros,Total,Total,Total,1010,83851.0
3204203,7,ES,Piúma,Total,Total,Total,160,4189.0
3204252,7,ES,Ponto Belo,Total,Total,Total,394,36849.0
3204302,7,ES,Presidente Kennedy,Total,Total,Total,699,37238.0
3204351,7,ES,Rio Bananal,Total,Total,Total,1932,47234.0
3204401,7,ES,Rio Novo do Sul,Total,Total,Total,673,13763.0
3204500,7,ES,Santa Leopoldina,Total,Total,Total,2296,39844.0
3204559,7,ES,Santa Maria de Jetibá,Total,Total,Total,5183,50263.0
3204609,7,ES,Santa Teresa,Total,Total,Total,2012,38622.0
3204658,7,ES,São Domingos do Norte,Total,Total,Total,1135,24001.0
3204708,7,ES,São Gabriel da Palha,Total,Total,Total,1732,35401.0
3204807,7,ES,São José do Calçado,Total,Total,Total,787,23613.0
3204906,7,ES,São Mateus,Total,Total,Total,4189,174663.0
3204955,7,ES,São Roque do Canaã,Total,Total,Total,1029,24064.0
3205002,7,ES,Serra,Total,Total,Total,269,21425.0
3205010,7,ES,Sooretama,Total,Total,Total,656,29743.0
3205036,7,ES,Vargem Alta,Total,Total,Total,1255,19989.0
3205069,7,ES,Venda Nova do Imigrante,Total,Total,Total,715,14072.0
3205101,7,ES,Viana,Total,Total,Total,624,24536.0
3205150,7,ES,Vila Pavão,Total,Total,Total,1447,30448.0
3205176,7,ES,Vila Valério,Total,Total,Total,1796,37909.0
3205200,7,ES,Vila Velha,Total,Total,Total,211,10600.0
3205309,7,ES,Vitória,Total,Total,Total,16,167.0
3300100,7,RJ,Angra dos Reis,Total,Total,Total,420,13814.0
3300159,7,RJ,Aperibé,Total,Total,Total,288,5707.0
3300209,7,RJ,Araruama,Total,Total,Total,830,28308.0
3300225,7,RJ,Areal,Total,Total,Total,84,6139.0
3300233,7,RJ,Armação dos Búzios,Total,Total,Total,20,792.0
3300258,7,RJ,Arraial do Cabo,Total,Total,Total,7,2.0
3300308,7,RJ,Barra do Piraí,Total,Total,Total,348,34575.0
3300407,7,RJ,Barra Mansa,Total,Total,Total,760,38547.0
3300456,7,RJ,Belford Roxo,Total,Total,Total,17,85.0
3300506,7,RJ,Bom Jardim,Total,Total,Total,1006,20274.0
3300605,7,RJ,Bom Jesus do Itabapoana,Total,Total,Total,1111,48851.0
3300704,7,RJ,Cabo Frio,Total,Total,Total,349,18577.0
3300803,7,RJ,Cachoeiras de Macacu,Total,Total,Total,2162,39370.0
3300902,7,RJ,Cambuci,Total,Total,Total,1151,46746.0
3300936,7,RJ,Carapebus,Total,Total,Total,549,16244.0
3300951,7,RJ,Comendador Levy Gasparian,Total,Total,Total,86,7105.0
3301009,7,RJ,Campos dos Goytacazes,Total,Total,Total,7789,256318.0
3301108,7,RJ,Cantagalo,Total,Total,Total,942,59312.0
3301157,7,RJ,Cardoso Moreira,Total,Total,Total,588,34217.0
3301207,7,RJ,Carmo,Total,Total,Total,476,25517.0
3301306,7,RJ,Casimiro de Abreu,Total,Total,Total,291,33594.0
3301405,7,RJ,Conceição de Macabu,Total,Total,Total,335,21932.0
3301504,7,RJ,Cordeiro,Total,Total,Total,184,9800.0
3301603,7,RJ,Duas Barras,Total,Total,Total,570,28159.0
3301702,7,RJ,Duque de Caxias,Total,Total,Total,388,5557.0
3301801,7,RJ,Engenheiro Paulo de Frontin,Total,Total,Total,67,5512.0
3301850,7,RJ,Guapimirim,Total,Total,Total,258,17371.0
3301876,7,RJ,Iguaba Grande,Total,Total,Total,66,1070.0
3301900,7,RJ,Itaboraí,Total,Total,Total,448,16470.0
3302007,7,RJ,Itaguaí,Total,Total,Total,434,9340.0
3302056,7,RJ,Italva,Total,Total,Total,409,17978.0
3302106,7,RJ,Itaocara,Total,Total,Total,1497,38083.0
3302205,7,RJ,Itaperuna,Total,Total,Total,1596,88898.0
3302254,7,RJ,Itatiaia,Total,Total,Total,72,6231.0
3302270,7,RJ,Japeri,Total,Total,Total,284,1840.0
3302304,7,RJ,Laje do Muriaé,Total,Total,Total,349,14765.0
3302403,7,RJ,Macaé,Total,Total,Total,886,71198.0
3302452,7,RJ,Macuco,Total,Total,Total,73,6914.0
