municipality_code,geographic_level,state_abbreviation,municipality_name,land_use_purpose,income_bracket,association_status,number_of_agricultural_establishments,total_area_in_hectares
1501006,7,PA,Aveiro,Total,Total,Total,1151,105724.0
1501105,7,PA,Bagre,Total,Total,Total,1468,121285.0
1501204,7,PA,Baião,Total,Total,Total,2820,74230.0
1501253,7,PA,Bannach,Total,Total,Total,491,232633.0
1501303,7,PA,Barcarena,Total,Total,Total,3120,21098.0
1501402,7,PA,Belém,Total,Total,Total,601,6166.0
1501451,7,PA,Belterra,Total,Total,Total,506,45837.0
1501501,7,PA,Benevides,Total,Total,Total,211,2803.0
1501576,7,PA,Bom Jesus do Tocantins,Total,Total,Total,1294,143443.0
1501600,7,PA,Bonito,Total,Total,Total,1086,43134.0
1501709,7,PA,Bragança,Total,Total,Total,4538,95010.0
1501725,7,PA,Brasil Novo,Total,Total,Total,1855,431123.0
1501758,7,PA,Brejo Grande do Araguaia,Total,Total,Total,608,113066.0
1501782,7,PA,Breu Branco,Total,Total,Total,2490,291661.0
1501808,7,PA,Breves,Total,Total,Total,5082,235274.0
1501907,7,PA,Bujaru,Total,Total,Total,2955,36988.0
1501956,7,PA,Cachoeira do Piriá,Total,Total,Total,2028,125041.0
1502004,7,PA,Cachoeira do Arari,Total,Total,Total,816,74594.0
1502103,7,PA,Cametá,Total,Total,Total,12889,96675.0
1502152,7,PA,Canaã dos Carajás,Total,Total,Total,1148,131212.0
1502202,7,PA,Capanema,Total,Total,Total,920,25357.0
1502301,7,PA,Capitão Poço,Total,Total,Total,2418,106364.0
1502400,7,PA,Castanhal,Total,Total,Total,1117,38086.0
1502509,7,PA,Chaves,Total,Total,Total,1722,468467.0
1502608,7,PA,Colares,Total,Total,Total,465,2788.0
1502707,7,PA,Conceição do Araguaia,Total,Total,Total,3388,344172.0
1502756,7,PA,Concórdia do Pará,Total,Total,Total,1183,35964.0
1502764,7,PA,Cumaru do Norte,Total,Total,Total,787,923618.0
1502772,7,PA,Curionópolis,Total,Total,Total,312,184006.0
1502806,7,PA,Curralinho,Total,Total,Total,2941,87923.0
1502855,7,PA,Curuá,Total,Total,Total,495,70282.0
1502905,7,PA,Curuçá,Total,Total,Total,567,7074.0
1502939,7,PA,Dom Eliseu,Total,Total,Total,567,213396.0
1502954,7,PA,Eldorado do Carajás,Total,Total,Total,2600,230765.0
1503002,7,PA,Faro,Total,Total,Total,103,6479.0
1503044,7,PA,Floresta do Araguaia,Total,Total,Total,1276,207691.0
1503077,7,PA,Garrafão do Norte,Total,Total,Total,2211,93252.0
1503093,7,PA,Goianésia do Pará,Total,Total,Total,1357,351585.0
1503101,7,PA,Gurupá,Total,Total,Total,1346,57188.0
1503200,7,PA,Igarapé-Açu,Total,Total,Total,2126,48858.0
1503309,7,PA,Igarapé-Miri,Total,Total,Total,3863,46123.0
1503408,7,PA,Inhangapi,Total,Total,Total,534,18181.0
1503457,7,PA,Ipixuna do Pará,Total,Total,Total,2151,159822.0
1503507,7,PA,Irituia,Total,Total,Total,2356,77692.0
1503606,7,PA,Itaituba,Total,Total,Total,1597,341171.0
1503705,7,PA,Itupiranga,Total,Total,Total,3318,460210.0
1503754,7,PA,Jacareacanga,Total,Total,Total,434,163832.0
1503804,7,PA,Jacundá,Total,Total,Total,731,132951.0
1503903,7,PA,Juruti,Total,Total,Total,1486,37763.0
1504000,7,PA,Limoeiro do Ajuru,Total,Total,Total,3813,37122.0
1504059,7,PA,Mãe do Rio,Total,Total,Total,802,29734.0
1504109,7,PA,Magalhães Barata,Total,Total,Total,441,11681.0
1504208,7,PA,Marabá,Total,Total,Total,5305,738374.0
1504307,7,PA,Maracanã,Total,Total,Total,1756,19236.0
1504406,7,PA,Marapanim,Total,Total,Total,911,12329.0
1504422,7,PA,Marituba,Total,Total,Total,51,72.0
1504455,7,PA,Medicilândia,Total,Total,Total,3457,299265.0
1504505,7,PA,Melgaço,Total,Total,Total,1759,124.0
1504604,7,PA,Mocajuba,Total,Total,Total,1480,26608.0
1504703,7,PA,Moju,Total,Total,Total,5831,361047.0
1504752,7,PA,Mojuí dos Campos,Total,Total,Total,1575,133126.0
1504802,7,PA,Monte Alegre,Total,Total,Total,4225,202780.0
1504901,7,PA,Muaná,Total,Total,Total,2484,87666.0
1504950,7,PA,Nova Esperança do Piriá,Total,Total,Total,1378,78957.0
1504976,7,PA,Nova Ipixuna,Total,Total,Total,1428,120089.0
1505007,7,PA,Nova Timboteua,Total,Total,Total,906,26338.0
1505031,7,PA,Novo Progresso,Total,Total,Total,1318,841898.0
1505064,7,PA,Novo Repartimento,Total,Total,Total,5424,865231.0
1505106,7,PA,Óbidos,Total,Total,Total,2780,241177.0
1505205,7,PA,Oeiras do Pará,Total,Total,Total,3725,38288.0
1505304,7,PA,Oriximiná,Total,Total,Total,2440,124183.0
1505403,7,PA,Ourém,Total,Total,Total,1159,37429.0
1505437,7,PA,Ourilândia do Norte,Total,Total,Total,1207,203478.0
1505486,7,PA,Pacajá,Total,Total,Total,4422,807620.0
1505494,7,PA,Palestina do Pará,Total,Total,Total,433,63368.0
1505502,7,PA,Paragominas,Total,Total,Total,1446,856019.0
1505536,7,PA,Parauapebas,Total,Total,Total,1297,87951.0
1505551,7,PA,Pau D'Arco,Total,Total,Total,570,123819.0
1505601,7,PA,Peixe-Boi,Total,Total,Total,718,35815.0
1505635,7,PA,Piçarra,Total,Total,Total,1334,298015.0
1505650,7,PA,Placas,Total,Total,Total,2722,301243.0
1505700,7,PA,Ponta de Pedras,Total,Total,Total,2841,41996.0
1505809,7,PA,Portel,Total,Total,Total,2348,105277.0
1505908,7,PA,Porto de Moz,Total,Total,Total,1584,316242.0
1506005,7,PA,Prainha,Total,Total,Total,1211,117118.0
1506104,7,PA,Primavera,Total,Total,Total,388,4877.0
1506112,7,PA,Quatipuru,Total,Total,Total,151,1897.0
1506138,7,PA,Redenção,Total,Total,Total,986,245824.0
1506161,7,PA,Rio Maria,Total,Total,Total,1064,322054.0
1506187,7,PA,Rondon do Pará,Total,Total,Total,1850,364997.0
1506195,7,PA,Rurópolis,Total,Total,Total,2660,309902.0
1506203,7,PA,Salinópolis,Total,Total,Total,210,898.0
1506302,7,PA,Salvaterra,Total,Total,Total,344,14360.0
1506351,7,PA,Santa Bárbara do Pará,Total,Total,Total,447,8002.0
1506401,7,PA,Santa Cruz do Arari,Total,Total,Total,175,22626.0
1506500,7,PA,Santa Izabel do Pará,Total,Total,Total,1213,21497.0
1506559,7,PA,Santa Luzia do Pará,Total,Total,Total,1131,68167.0
1506583,7,PA,Santa Maria das Barreiras,Total,Total,Total,2788,798318.0
1506609,7,PA,Santa Maria do Pará,Total,Total,Total,1217,24953.0
1506708,7,PA,Santana do Araguaia,Total,Total,Total,2051,857864.0
1506807,7,PA,Santarém,Total,Total,Total,7379,180512.0
1506906,7,PA,Santarém Novo,Total,Total,Total,233,7952.0
1507003,7,PA,Santo Antônio do Tauá,Total,Total,Total,883,19248.0
1507102,7,PA,São Caetano de Odivelas,Total,Total,Total,626,14476.0
1507151,7,PA,São Domingos do Araguaia,Total,Total,Total,1016,112369.0
1507201,7,PA,São Domingos do Capim,Total,Total,Total,3151,80819.0
1507300,7,PA,São Félix do Xingu,Total,Total,Total,6375,2462092.0
1507409,7,PA,São Francisco do Pará,Total,Total,Total,686,35480.0
1507458,7,PA,São Geraldo do Araguaia,Total,Total,Total,1213,254157.0
1507466,7,PA,São João da Ponta,Total,Total,Total,181,6958.0
1507474,7,PA,São João de Pirabas,Total,Total,Total,521,13816.0
1507508,7,PA,São João do Araguaia,Total,Total,Total,1220,77603.0
1507607,7,PA,São Miguel do Guamá,Total,Total,Total,2250,72647.0
1507706,7,PA,São Sebastião da Boa Vista,Total,Total,Total,2382,48426.0
1507755,7,PA,Sapucaia,Total,Total,Total,236,372562.0
1507805,7,PA,Senador José Porfírio,Total,Total,Total,2224,217455.0
1507904,7,PA,Soure,Total,Total,Total,120,198911.0
1507953,7,PA,Tailândia,Total,Total,Total,939,233954.0
1507961,7,PA,Terra Alta,Total,Total,Total,104,2111.0
