cod_ibge,uf,populacao_2024,num_escolas,area_algodão_herbáceo_2024,area_cana_de_açúcar_2024,area_milho_2024,area_soja_2024,estabelecimentos_agro_total,area_agro_total_hectares,num_tratores
5000708,MS,24741.0,15453,,71.0,25188.0,81807.0,1058.0,287753.0,513.0
5000807,MS,7735.0,4824,,60015.0,28354.0,214308.0,777.0,271931.0,639.0
5000856,MS,11203.0,8088,,495981.0,36152.0,112694.0,487.0,106322.0,485.0
5000906,MS,9641.0,8475,,,67000.0,268399.0,298.0,94588.0,263.0
5001003,MS,29446.0,19998,,257119.0,2256.0,22730.0,734.0,239989.0,699.0
5001102,MS,48561.0,36612,,99.0,74.0,13721.0,1223.0,1400015.0,810.0
5001243,MS,11085.0,8385,1381.0,,321920.0,732052.0,618.0,153413.0,843.0
5001508,MS,8276.0,5697,,,85767.0,789358.0,704.0,267263.0,777.0
5001904,MS,24004.0,16641,,,20158.0,81570.0,904.0,188187.0,476.0
5002001,MS,10953.0,7401,,154540.0,28784.0,171963.0,492.0,154547.0,339.0
5002100,MS,21965.0,17151,,45.0,57826.0,347335.0,1316.0,479608.0,667.0
5002159,MS,8849.0,5904,,182.0,11300.0,62890.0,670.0,223186.0,280.0
5002209,MS,24761.0,17712,,117.0,122331.0,384512.0,895.0,414527.0,906.0
5002308,MS,11840.0,8016,,52403.0,1260.0,16583.0,831.0,578043.0,551.0
5002407,MS,32406.0,23700,,277299.0,278609.0,629281.0,910.0,183375.0,1104.0
5002605,MS,13920.0,8658,,43.0,18043.0,185600.0,974.0,574910.0,1006.0
5002704,MS,954537.0,628614,33678.0,24231.0,173662.0,930435.0,1849.0,731247.0,1584.0
5002803,MS,5115.0,3942,,173.0,13347.0,69161.0,472.0,272171.0,364.0
5002902,MS,21549.0,13614,31178.0,37529.0,22165.0,120596.0,698.0,357315.0,708.0
5002951,MS,33791.0,26337,189674.0,387716.0,383913.0,832255.0,265.0,291425.0,774.0
5003108,MS,4893.0,2766,,71.0,,3988.0,638.0,285983.0,565.0
5003157,MS,14661.0,14706,,,29580.0,134263.0,478.0,92822.0,269.0
5003207,MS,99107.0,75147,,310.0,9760.0,11023.0,1766.0,4810916.0,1259.0
5003256,MS,28163.0,21207,348126.0,606873.0,325943.0,674338.0,590.0,392452.0,798.0
5003306,MS,33390.0,22248,,90.0,21989.0,100604.0,1036.0,557213.0,824.0
5003454,MS,14210.0,9222,,84200.0,37017.0,84472.0,681.0,75535.0,298.0
5003488,MS,11470.0,8766,,,32274.0,74023.0,752.0,211360.0,459.0
5003504,MS,5749.0,3573,,3377.0,54487.0,93917.0,223.0,24304.0,224.0
5003702,MS,260640.0,184641,,283975.0,699209.0,1270175.0,1718.0,341022.0,2189.0
5003751,MS,11633.0,8010,,21184.0,13751.0,124750.0,427.0,100030.0,247.0
5003801,MS,21388.0,12714,,15218.0,30634.0,61537.0,620.0,21380.0,436.0
5003900,MS,3709.0,2205,,,81.0,20000.0,495.0,422343.0,557.0
5004007,MS,10777.0,6255,,51978.0,6080.0,17271.0,744.0,41695.0,182.0
5004106,MS,10135.0,6945,,77.0,64353.0,161466.0,672.0,109648.0,334.0
5004304,MS,14017.0,9957,,80183.0,51380.0,152562.0,927.0,270413.0,609.0
5004403,MS,8712.0,5472,,,,13172.0,817.0,585575.0,759.0
5004502,MS,25075.0,12030,,3927.0,364953.0,516785.0,822.0,114674.0,887.0
5004601,MS,19996.0,14808,,81629.0,38314.0,302418.0,2820.0,174645.0,537.0
5004700,MS,29613.0,19182,,561863.0,32320.0,180863.0,1315.0,197670.0,385.0
5004809,MS,8409.0,8169,,,1930.0,12533.0,922.0,27405.0,128.0
5004908,MS,7425.0,3651,,70.0,33965.0,303152.0,1527.0,239701.0,797.0
5005004,MS,24509.0,18153,,87.0,37330.0,146193.0,657.0,190947.0,368.0
5005103,MS,3620.0,2820,,314320.0,72390.0,164571.0,381.0,146085.0,283.0
5005152,MS,7009.0,5580,,285580.0,19052.0,128337.0,339.0,130239.0,283.0
5005202,MS,22290.0,14802,,44.0,,,161.0,17996.0,
5005251,MS,7012.0,5598,,25123.0,252046.0,629148.0,424.0,171613.0,798.0
5005400,MS,47558.0,31959,5405.0,43209.0,1144236.0,1752237.0,701.0,479477.0,1584.0
5005608,MS,26487.0,22062,,114.0,4262.0,47798.0,864.0,525289.0,459.0
5005681,MS,19937.0,13926,,,5993.0,34700.0,424.0,34221.0,211.0
5005707,MS,52707.0,39789,,170576.0,200433.0,678994.0,442.0,269766.0,605.0
5005806,MS,13412.0,9396,,32.0,21931.0,88603.0,2003.0,355590.0,641.0
5006002,MS,23054.0,17640,,1313814.0,106181.0,395076.0,956.0,334482.0,618.0
5006200,MS,50610.0,37203,,674799.0,55690.0,311559.0,1930.0,454261.0,948.0
5006259,MS,4811.0,3492,,204044.0,26409.0,68143.0,611.0,69796.0,194.0
5006275,MS,5777.0,4875,,240308.0,15590.0,710200.0,492.0,475296.0,913.0
5006309,MS,42543.0,26352,,167123.0,3690.0,26228.0,1711.0,496096.0,1267.0
5006358,MS,13323.0,13509,,,18700.0,141297.0,294.0,105748.0,139.0
5006408,MS,6974.0,4539,,,19620.0,152022.0,563.0,286186.0,522.0
5006606,MS,97577.0,84801,,132247.0,627992.0,1756997.0,2844.0,405726.0,1741.0
5006903,MS,12864.0,10809,,28.0,9554.0,50804.0,484.0,1175591.0,567.0
5007109,MS,23996.0,18816,,25.0,16951.0,171136.0,1203.0,1595770.0,1861.0
5007208,MS,39936.0,28734,,996505.0,472729.0,818900.0,1102.0,356647.0,1177.0
5007307,MS,4933.0,3480,,,3340.0,17644.0,444.0,144825.0,280.0
5007406,MS,20393.0,13251,,,14027.0,223239.0,825.0,732556.0,885.0
5007505,MS,5407.0,3954,,107.0,8848.0,83266.0,694.0,160809.0,515.0
5007554,MS,7174.0,4863,,,5187.0,40335.0,985.0,613049.0,808.0
5007695,MS,31694.0,25509,,,350368.0,934074.0,726.0,336602.0,921.0
5007703,MS,11301.0,6537,,,81870.0,218799.0,262.0,83146.0,224.0
5007802,MS,8593.0,4977,,,7840.0,22546.0,606.0,325800.0,317.0
5007901,MS,49374.0,35592,,71444.0,733887.0,1471953.0,4087.0,425339.0,1471.0
5007935,MS,14822.0,11238,,289957.0,102808.0,424136.0,243.0,309336.0,385.0
5007950,MS,11159.0,7557,,,15800.0,90889.0,686.0,159640.0,331.0
5007976,MS,3730.0,2298,,79980.0,9858.0,36190.0,330.0,64067.0,132.0
5008008,MS,18139.0,12204,,17.0,21272.0,249853.0,2606.0,259228.0,1044.0
5008305,MS,141435.0,100722,,5958.0,,3324.0,1101.0,936648.0,1827.0
5008404,MS,6476.0,4272,,89704.0,19230.0,37821.0,409.0,22120.0,236.0
5100102,MT,4990.0,4215,,40.0,,,565.0,50223.0,103.0
5100201,MT,31314.0,22116,,,397984.0,1098259.0,1009.0,676628.0,1198.0
5100250,MT,61291.0,39507,,,220167.0,570272.0,1675.0,731303.0,1131.0
5100300,MT,17657.0,9519,26964.0,22724.0,80934.0,307735.0,691.0,423244.0,633.0
5100359,MT,5875.0,4179,,,121813.0,233538.0,207.0,98039.0,86.0
5100409,MT,13707.0,8427,46308.0,48.0,335724.0,839800.0,298.0,292859.0,557.0
5100508,MT,7717.0,4527,,,18784.0,44429.0,617.0,105410.0,189.0
5100607,MT,11571.0,7632,54791.0,338821.0,236748.0,423400.0,159.0,125326.0,280.0
5100805,MT,8692.0,6747,,,6837.0,28673.0,696.0,575335.0,345.0
5101001,MT,3950.0,2307,,,9928.0,88626.0,251.0,414394.0,366.0
5101209,MT,1006.0,525,,149.0,2698.0,13889.0,64.0,58457.0,59.0
5101258,MT,14854.0,9885,,46.0,8920.0,2158.0,697.0,136640.0,233.0
5101308,MT,10747.0,7578,,11500.0,21132.0,36527.0,284.0,29424.0,72.0
5101407,MT,26010.0,19746,,1454.0,56352.0,95188.0,2084.0,1112073.0,540.0
5101605,MT,7204.0,4182,,84.0,198.0,,822.0,630495.0,
5101704,MT,29576.0,22470,,515923.0,5116.0,9461.0,532.0,380887.0,452.0
5101803,MT,72694.0,48486,6959.0,,79649.0,420304.0,823.0,601340.0,702.0
5101852,MT,7731.0,5835,185207.0,,453053.0,1083476.0,943.0,330691.0,375.0
5101902,MT,17496.0,13362,308828.0,152.0,858780.0,1846038.0,943.0,991360.0,1015.0
5102504,MT,91626.0,62355,,9187.0,11680.0,82934.0,3536.0,1717354.0,1390.0
5102603,MT,15713.0,15978,2945.0,,46960.0,229914.0,831.0,290040.0,361.0
5102637,MT,50033.0,38700,2533143.0,403427.0,721506.0,2245841.0,269.0,561390.0,997.0
5102678,MT,47831.0,33690,1459724.0,540.0,595100.0,1605500.0,1166.0,347114.0,1409.0
5102686,MT,9608.0,8040,1118978.0,39500.0,617697.0,1330266.0,111.0,399377.0,563.0
5102694,MT,4480.0,3552,,,119697.0,271950.0,744.0,215450.0,245.0
5102702,MT,27657.0,19254,253513.0,,522720.0,1529462.0,444.0,790209.0,1227.0
5102793,MT,10324.0,6360,28523.0,,71223.0,191683.0,1329.0,193907.0,393.0
5102850,MT,7459.0,4482,,,3307.0,22358.0,1440.0,419382.0,355.0
5103007,MT,19374.0,13992,131919.0,120.0,83440.0,237785.0,1094.0,292509.0,461.0
5103056,MT,9436.0,7542,,,488471.0,875315.0,706.0,217042.0,519.0
5103106,MT,6428.0,3915,,,13894.0,131054.0,505.0,1401251.0,574.0
5103205,MT,32010.0,20865,,,72299.0,292661.0,1783.0,246860.0,598.0
5103254,MT,26090.0,19602,,1449.0,11984.0,6400.0,3475.0,798508.0,309.0
