municipality_code,administrative_dependency,rural_high_school_enrollments
2503902,federal,0
2504009,federal,0
2504033,federal,0
2504074,federal,0
2504108,federal,0
2504157,federal,0
2504207,federal,0
2504306,federal,0
2504355,federal,0
2504405,federal,0
2504504,federal,0
2504603,federal,0
2504702,federal,0
2504801,federal,0
2504850,federal,0
2504900,federal,0
2505006,federal,0
2505105,federal,0
2505238,federal,0
2505204,federal,0
2505279,federal,0
2505303,federal,0
2505352,federal,0
2505402,federal,0
2505600,federal,0
2505709,federal,0
2505808,federal,0
2505907,federal,0
2506004,federal,0
2506103,federal,0
2506202,federal,0
2506251,federal,0
2506301,federal,0
2506400,federal,0
2506509,federal,0
2506608,federal,0
2502607,federal,0
2506707,federal,0
2506806,federal,0
2506905,federal,0
2507002,federal,0
2507101,federal,0
2507200,federal,0
2507309,federal,0
2507408,federal,0
2507507,federal,0
2513653,federal,0
2507606,federal,0
2507705,federal,0
2507804,federal,0
2507903,federal,0
2508000,federal,0
2508109,federal,0
2508208,federal,0
2508307,federal,0
2508406,federal,0
2508505,federal,0
2508554,federal,0
2508604,federal,0
2508703,federal,0
2508802,federal,0
2508901,federal,0
2509008,federal,0
2509057,federal,0
2509107,federal,0
2509156,federal,0
2509206,federal,0
2509305,federal,0
2509339,federal,0
2509370,federal,0
2509396,federal,0
2509404,federal,0
2509503,federal,0
2509602,federal,0
2509701,federal,0
2509800,federal,0
2509909,federal,0
2510006,federal,0
2510105,federal,0
2510204,federal,0
2510303,federal,0
2510402,federal,0
2510501,federal,0
2510600,federal,0
2510659,federal,0
2510709,federal,0
2510808,federal,0
2510907,federal,0
2511004,federal,0
2511103,federal,0
2511202,federal,0
2512721,federal,0
2511301,federal,0
2511400,federal,0
2511509,federal,0
2511608,federal,0
2511707,federal,0
2511806,federal,0
2511905,federal,0
2512002,federal,0
2512036,federal,0
2512077,federal,0
2512101,federal,0
2512200,federal,0
2512309,federal,0
2512408,federal,0
2512507,federal,0
2512606,federal,0
2512705,federal,0
2512747,federal,0
2512754,federal,0
2512762,federal,0
2512788,federal,0
2512804,federal,0
2512903,federal,0
2513000,federal,0
2513109,federal,0
2513158,federal,0
2513208,federal,0
2513307,federal,0
2513356,federal,0
2513406,federal,0
2513703,federal,0
2513802,federal,0
2513505,federal,0
2513604,federal,0
2513851,federal,0
2513927,federal,0
2513901,federal,0
2513968,federal,0
2513943,federal,0
2513984,federal,0
2514008,federal,0
2500700,federal,0
2514107,federal,0
2514206,federal,0
2514305,federal,0
2514404,federal,0
2514503,federal,0
2514552,federal,0
2514602,federal,0
2514651,federal,0
2514701,federal,0
2514800,federal,0
2514453,federal,0
2514909,federal,0
2515005,federal,0
2515104,federal,0
2515203,federal,0
2515401,federal,0
2515302,federal,0
2515500,federal,0
2515609,federal,0
2515708,federal,0
2515807,federal,0
2515906,federal,0
