cod_ibge,regiao,uf,municipio,localizacao,dependencia,num_escolas
1303205,Norte ,Amazonas ,Novo Airão ,Total,Total Geral,4952
1303304,Norte ,Amazonas ,Novo Aripuanã ,Total,Total Geral,5675
1303403,Norte ,Amazonas ,Parintins ,Total,Total Geral,30899
1303502,Norte ,Amazonas ,Pauini ,Total,Total Geral,5605
1303536,Norte ,Amazonas ,Presidente Figueiredo ,Total,Total Geral,10822
1303569,Norte ,Amazonas ,Rio Preto da Eva ,Total,Total Geral,8259
1303601,Norte ,Amazonas ,Santa Isabel do Rio Negro ,Total,Total Geral,5390
1303700,Norte ,Amazonas ,Santo Antônio do Içá ,Total,Total Geral,11965
1303809,Norte ,Amazonas ,São Gabriel da Cachoeira ,Total,Total Geral,19589
1303908,Norte ,Amazonas ,São Paulo de Olivença ,Total,Total Geral,13389
1303957,Norte ,Amazonas ,São Sebastião do Uatumã ,Total,Total Geral,3153
1304005,Norte ,Amazonas ,Silves ,Total,Total Geral,3893
1304062,Norte ,Amazonas ,Tabatinga ,Total,Total Geral,24679
1304104,Norte ,Amazonas ,Tapauá ,Total,Total Geral,6829
1304203,Norte ,Amazonas ,Tefé ,Total,Total Geral,27272
1304237,Norte ,Amazonas ,Tonantins ,Total,Total Geral,6896
1304260,Norte ,Amazonas ,Uarini ,Total,Total Geral,5597
1304302,Norte ,Amazonas ,Urucará ,Total,Total Geral,4513
1304401,Norte ,Amazonas ,Urucurituba ,Total,Total Geral,6018
1400050,Norte ,Roraima ,Alto Alegre ,Total,Total Geral,5044
1400027,Norte ,Roraima ,Amajari ,Total,Total Geral,3508
1400100,Norte ,Roraima ,Boa Vista ,Total,Total Geral,112272
1400159,Norte ,Roraima ,Bonfim ,Total,Total Geral,6348
1400175,Norte ,Roraima ,Cantá ,Total,Total Geral,6091
1400209,Norte ,Roraima ,Caracaraí ,Total,Total Geral,5697
1400233,Norte ,Roraima ,Caroebe ,Total,Total Geral,2986
1400282,Norte ,Roraima ,Iracema ,Total,Total Geral,2128
1400308,Norte ,Roraima ,Mucajaí ,Total,Total Geral,5364
1400407,Norte ,Roraima ,Normandia ,Total,Total Geral,7350
1400456,Norte ,Roraima ,Pacaraima ,Total,Total Geral,8762
1400472,Norte ,Roraima ,Rorainópolis ,Total,Total Geral,8642
1400506,Norte ,Roraima ,São João da Baliza ,Total,Total Geral,2148
1400605,Norte ,Roraima ,São Luiz ,Total,Total Geral,1951
1400704,Norte ,Roraima ,Uiramutã ,Total,Total Geral,7366
1500107,Norte ,Pará ,Abaetetuba ,Total,Total Geral,44173
1500131,Norte ,Pará ,Abel Figueiredo ,Total,Total Geral,1635
1500206,Norte ,Pará ,Acará ,Total,Total Geral,18996
1500305,Norte ,Pará ,Afuá ,Total,Total Geral,14109
1500347,Norte ,Pará ,Água Azul do Norte ,Total,Total Geral,3552
1500404,Norte ,Pará ,Alenquer ,Total,Total Geral,16334
1500503,Norte ,Pará ,Almeirim ,Total,Total Geral,11549
1500602,Norte ,Pará ,Altamira ,Total,Total Geral,33554
1500701,Norte ,Pará ,Anajás ,Total,Total Geral,11698
1500800,Norte ,Pará ,Ananindeua ,Total,Total Geral,103506
1500859,Norte ,Pará ,Anapu ,Total,Total Geral,9208
1500909,Norte ,Pará ,Augusto Corrêa ,Total,Total Geral,13915
1500958,Norte ,Pará ,Aurora do Pará ,Total,Total Geral,6680
1501006,Norte ,Pará ,Aveiro ,Total,Total Geral,4202
1501105,Norte ,Pará ,Bagre ,Total,Total Geral,7407
1501204,Norte ,Pará ,Baião ,Total,Total Geral,9356
1501253,Norte ,Pará ,Bannach ,Total,Total Geral,915
1501303,Norte ,Pará ,Barcarena ,Total,Total Geral,37101
1501402,Norte ,Pará ,Belém ,Total,Total Geral,264881
1501451,Norte ,Pará ,Belterra ,Total,Total Geral,5316
1501501,Norte ,Pará ,Benevides ,Total,Total Geral,17099
1501576,Norte ,Pará ,Bom Jesus do Tocantins ,Total,Total Geral,4276
1501600,Norte ,Pará ,Bonito ,Total,Total Geral,2964
1501709,Norte ,Pará ,Bragança ,Total,Total Geral,33313
1501725,Norte ,Pará ,Brasil Novo ,Total,Total Geral,6243
1501758,Norte ,Pará ,Brejo Grande do Araguaia ,Total,Total Geral,2099
1501782,Norte ,Pará ,Breu Branco ,Total,Total Geral,11184
1501808,Norte ,Pará ,Breves ,Total,Total Geral,40702
1501907,Norte ,Pará ,Bujaru ,Total,Total Geral,8565
1502004,Norte ,Pará ,Cachoeira do Arari ,Total,Total Geral,5929
1501956,Norte ,Pará ,Cachoeira do Piriá ,Total,Total Geral,5547
1502103,Norte ,Pará ,Cametá ,Total,Total Geral,39314
1502152,Norte ,Pará ,Canaã dos Carajás ,Total,Total Geral,26506
1502202,Norte ,Pará ,Capanema ,Total,Total Geral,17774
1502301,Norte ,Pará ,Capitão Poço ,Total,Total Geral,13568
1502400,Norte ,Pará ,Castanhal ,Total,Total Geral,55274
1502509,Norte ,Pará ,Chaves ,Total,Total Geral,8101
1502608,Norte ,Pará ,Colares ,Total,Total Geral,3259
1502707,Norte ,Pará ,Conceição do Araguaia ,Total,Total Geral,10606
1502756,Norte ,Pará ,Concórdia do Pará ,Total,Total Geral,12507
1502764,Norte ,Pará ,Cumaru do Norte ,Total,Total Geral,4034
1502772,Norte ,Pará ,Curionópolis ,Total,Total Geral,7405
1502806,Norte ,Pará ,Curralinho ,Total,Total Geral,12363
1502855,Norte ,Pará ,Curuá ,Total,Total Geral,4358
1502905,Norte ,Pará ,Curuçá ,Total,Total Geral,10257
1502939,Norte ,Pará ,Dom Eliseu ,Total,Total Geral,10865
