codigo_municipio,sigla_estado,nome_municipio,numero_de_estabelecimentos_agricolas,numero_de_tratores_em_uso
1101492,RO,São Francisco do Guaporé,247.0,318.0
1101500,RO,Seringueiras,124.0,159.0
1101559,RO,Teixeirópolis,40.0,45.0
1101609,RO,Theobroma,111.0,159.0
1101708,RO,Urupá,37.0,38.0
1101757,RO,Vale do Anari,104.0,135.0
1101807,RO,Vale do Paraíso,74.0,90.0
1200013,AC,Acrelândia,158.0,199.0
1200054,AC,Assis Brasil,3.0,4.0
1200104,AC,Brasiléia,112.0,168.0
1200138,AC,Bujari,92.0,148.0
1200179,AC,Capixaba,51.0,111.0
1200203,AC,Cruzeiro do Sul,33.0,43.0
1200252,AC,Epitaciolândia,50.0,76.0
1200302,AC,Feijó,7.0,7.0
1200328,AC,Jordão,1.0,
1200336,AC,Mâncio Lima,9.0,
1200344,AC,Manoel Urbano,11.0,
1200351,AC,Marechal Thaumaturgo,1.0,
1200385,AC,Plácido de Castro,169.0,241.0
1200393,AC,Porto Walter,2.0,
1200401,AC,Rio Branco,198.0,299.0
1200427,AC,Rodrigues Alves,13.0,
1200435,AC,Santa Rosa do Purus,,
1200450,AC,Senador Guiomard,179.0,276.0
1200500,AC,Sena Madureira,98.0,134.0
1200609,AC,Tarauacá,19.0,
1200708,AC,Xapuri,100.0,152.0
1200807,AC,Porto Acre,138.0,196.0
1300029,AM,Alvarães,,
1300060,AM,Amaturá,,
1300086,AM,Anamã,2.0,
1300102,AM,Anori,7.0,
1300144,AM,Apuí,124.0,140.0
1300201,AM,Atalaia do Norte,,
1300300,AM,Autazes,40.0,53.0
1300409,AM,Barcelos,4.0,4.0
1300508,AM,Barreirinha,5.0,
1300607,AM,Benjamin Constant,1.0,
1300631,AM,Beruri,1.0,
1300680,AM,Boa Vista do Ramos,1.0,
1300706,AM,Boca do Acre,90.0,147.0
1300805,AM,Borba,7.0,9.0
1300839,AM,Caapiranga,,
1300904,AM,Canutama,109.0,143.0
1301001,AM,Carauari,3.0,
1301100,AM,Careiro,32.0,50.0
1301159,AM,Careiro da Várzea,50.0,
1301209,AM,Coari,3.0,
1301308,AM,Codajás,,
1301407,AM,Eirunepé,4.0,4.0
1301506,AM,Envira,4.0,4.0
1301605,AM,Fonte Boa,1.0,
1301654,AM,Guajará,11.0,24.0
1301704,AM,Humaitá,45.0,77.0
1301803,AM,Ipixuna,,
1301852,AM,Iranduba,247.0,299.0
1301902,AM,Itacoatiara,101.0,150.0
1301951,AM,Itamarati,,
1302009,AM,Itapiranga,2.0,
1302108,AM,Japurá,,
1302207,AM,Juruá,1.0,
1302306,AM,Jutaí,2.0,
1302405,AM,Lábrea,130.0,220.0
1302504,AM,Manacapuru,47.0,67.0
1302553,AM,Manaquiri,3.0,
1302603,AM,Manaus,141.0,191.0
1302702,AM,Manicoré,139.0,168.0
1302801,AM,Maraã,1.0,
1302900,AM,Maués,16.0,22.0
1303007,AM,Nhamundá,2.0,
1303106,AM,Nova Olinda do Norte,1.0,
1303205,AM,Novo Airão,1.0,
1303304,AM,Novo Aripuanã,33.0,
1303403,AM,Parintins,17.0,21.0
1303502,AM,Pauini,2.0,
1303536,AM,Presidente Figueiredo,132.0,227.0
1303569,AM,Rio Preto da Eva,113.0,200.0
1303601,AM,Santa Isabel do Rio Negro,1.0,
1303700,AM,Santo Antônio do Içá,1.0,
1303809,AM,São Gabriel da Cachoeira,,
1303908,AM,São Paulo de Olivença,,
1303957,AM,São Sebastião do Uatumã,7.0,7.0
1304005,AM,Silves,6.0,8.0
1304062,AM,Tabatinga,7.0,9.0
1304104,AM,Tapauá,9.0,12.0
1304203,AM,Tefé,4.0,5.0
1304237,AM,Tonantins,,
1304260,AM,Uarini,2.0,
1304302,AM,Urucará,6.0,
1304401,AM,Urucurituba,4.0,5.0
1400027,RR,Amajari,61.0,93.0
1400050,RR,Alto Alegre,123.0,212.0
1400100,RR,Boa Vista,133.0,212.0
1400159,RR,Bonfim,94.0,192.0
1400175,RR,Cantá,214.0,274.0
1400209,RR,Caracaraí,55.0,88.0
1400233,RR,Caroebe,94.0,107.0
1400282,RR,Iracema,55.0,90.0
1400308,RR,Mucajaí,127.0,175.0
1400407,RR,Normandia,8.0,18.0
1400456,RR,Pacaraima,6.0,6.0
1400472,RR,Rorainópolis,98.0,139.0
1400506,RR,São João da Baliza,75.0,99.0
1400605,RR,São Luiz,33.0,41.0
1400704,RR,Uiramutã,1.0,
1500107,PA,Abaetetuba,35.0,55.0
1500131,PA,Abel Figueiredo,9.0,13.0
1500206,PA,Acará,132.0,168.0
1500305,PA,Afuá,,
1500347,PA,Água Azul do Norte,223.0,355.0
1500404,PA,Alenquer,103.0,141.0
1500503,PA,Almeirim,6.0,8.0
1500602,PA,Altamira,524.0,782.0
1500701,PA,Anajás,,
1500800,PA,Ananindeua,4.0,9.0
1500859,PA,Anapu,61.0,95.0
1500909,PA,Augusto Corrêa,32.0,43.0
1500958,PA,Aurora do Pará,110.0,173.0
1501006,PA,Aveiro,10.0,12.0
1501105,PA,Bagre,1.0,
1501204,PA,Baião,46.0,62.0
1501253,PA,Bannach,72.0,129.0
1501303,PA,Barcarena,13.0,
1501402,PA,Belém,2.0,
1501451,PA,Belterra,45.0,97.0
1501501,PA,Benevides,6.0,7.0
1501576,PA,Bom Jesus do Tocantins,131.0,186.0
1501600,PA,Bonito,44.0,150.0
1501709,PA,Bragança,77.0,97.0
