"Tabela 6873 - Número de estabelecimentos agropecuários e Número de tratores, implementos e máquinas existentes nos estabelecimentos agropecuários, por tipologia, tratores, implementos e máquinas existentes no estabelecimento agropecuário, condição do produtor em relação às terras e grupos de atividade econômica - Ranking ascendente"
"Variável - Número de estabelecimentos agropecuários (Unidades)"
"Cód.";"Brasil, Grande Região e Município";"Condição do produtor em relação às terras";"#";"Grupos de atividade econômica";"Ano x Tipologia x Tratores, implementos e máquinas existentes no estabelecimento agropecuário"
"Cód.";"Brasil, Grande Região e Município";"Condição do produtor em relação às terras";"#";"Grupos de atividade econômica";"2017"
"Cód.";"Brasil, Grande Região e Município";"Condição do produtor em relação às terras";"#";"Grupos de atividade econômica";"Total"
"Cód.";"Brasil, Grande Região e Município";"Condição do produtor em relação às terras";"#";"Grupos de atividade econômica";"Tratores"
"1303809";"São Gabriel da Cachoeira (AM)";"Total";"1";"Total";"-"
"1303908";"São Paulo de Olivença (AM)";"Total";"1";"Total";"-"
"1303957";"São Sebastião do Uatumã (AM)";"Total";"1";"Total";"7"
"1304005";"Silves (AM)";"Total";"1";"Total";"6"
"1304062";"Tabatinga (AM)";"Total";"1";"Total";"7"
"1304104";"Tapauá (AM)";"Total";"1";"Total";"9"
"1304203";"Tefé (AM)";"Total";"1";"Total";"4"
"1304237";"Tonantins (AM)";"Total";"1";"Total";"-"
"1304260";"Uarini (AM)";"Total";"1";"Total";"2"
"1304302";"Urucará (AM)";"Total";"1";"Total";"6"
"1304401";"Urucurituba (AM)";"Total";"1";"Total";"4"
"1400027";"Amajari (RR)";"Total";"1";"Total";"61"
"1400050";"Alto Alegre (RR)";"Total";"1";"Total";"123"
"1400100";"Boa Vista (RR)";"Total";"1";"Total";"133"
"1400159";"Bonfim (RR)";"Total";"1";"Total";"94"
"1400175";"Cantá (RR)";"Total";"1";"Total";"214"
"1400209";"Caracaraí (RR)";"Total";"1";"Total";"55"
"1400233";"Caroebe (RR)";"Total";"1";"Total";"94"
"1400282";"Iracema (RR)";"Total";"1";"Total";"55"
"1400308";"Mucajaí (RR)";"Total";"1";"Total";"127"
"1400407";"Normandia (RR)";"Total";"1";"Total";"8"
"1400456";"Pacaraima (RR)";"Total";"1";"Total";"6"
"1400472";"Rorainópolis (RR)";"Total";"1";"Total";"98"
"1400506";"São João da Baliza (RR)";"Total";"1";"Total";"75"
"1400605";"São Luiz (RR)";"Total";"1";"Total";"33"
"1400704";"Uiramutã (RR)";"Total";"1";"Total";"1"
"1500107";"Abaetetuba (PA)";"Total";"1";"Total";"35"
"1500131";"Abel Figueiredo (PA)";"Total";"1";"Total";"9"
"1500206";"Acará (PA)";"Total";"1";"Total";"132"
"1500305";"Afuá (PA)";"Total";"1";"Total";"-"
"1500347";"Água Azul do Norte (PA)";"Total";"1";"Total";"223"
"1500404";"Alenquer (PA)";"Total";"1";"Total";"103"
"1500503";"Almeirim (PA)";"Total";"1";"Total";"6"
"1500602";"Altamira (PA)";"Total";"1";"Total";"524"
"1500701";"Anajás (PA)";"Total";"1";"Total";"-"
"1500800";"Ananindeua (PA)";"Total";"1";"Total";"4"
"1500859";"Anapu (PA)";"Total";"1";"Total";"61"
"1500909";"Augusto Corrêa (PA)";"Total";"1";"Total";"32"
"1500958";"Aurora do Pará (PA)";"Total";"1";"Total";"110"
"1501006";"Aveiro (PA)";"Total";"1";"Total";"10"
"1501105";"Bagre (PA)";"Total";"1";"Total";"1"
"1501204";"Baião (PA)";"Total";"1";"Total";"46"
"1501253";"Bannach (PA)";"Total";"1";"Total";"72"
"1501303";"Barcarena (PA)";"Total";"1";"Total";"13"
"1501402";"Belém (PA)";"Total";"1";"Total";"2"
"1501451";"Belterra (PA)";"Total";"1";"Total";"45"
"1501501";"Benevides (PA)";"Total";"1";"Total";"6"
"1501576";"Bom Jesus do Tocantins (PA)";"Total";"1";"Total";"131"
"1501600";"Bonito (PA)";"Total";"1";"Total";"44"
"1501709";"Bragança (PA)";"Total";"1";"Total";"77"
"1501725";"Brasil Novo (PA)";"Total";"1";"Total";"175"
"1501758";"Brejo Grande do Araguaia (PA)";"Total";"1";"Total";"60"
