"Tabela 6873 - Número de estabelecimentos agropecuários e Número de tratores, implementos e máquinas existentes nos estabelecimentos agropecuários, por tipologia, tratores, implementos e máquinas existentes no estabelecimento agropecuário, condição do produtor em relação às terras e grupos de atividade econômica - Ranking ascendente"
"Variável - Número de estabelecimentos agropecuários (Unidades)"
"Cód.";"Brasil, Grande Região e Município";"Condição do produtor em relação às terras";"#";"Grupos de atividade econômica";"Ano x Tipologia x Tratores, implementos e máquinas existentes no estabelecimento agropecuário"
"Cód.";"Brasil, Grande Região e Município";"Condição do produtor em relação às terras";"#";"Grupos de atividade econômica";"2017"
"Cód.";"Brasil, Grande Região e Município";"Condição do produtor em relação às terras";"#";"Grupos de atividade econômica";"Total"
"Cód.";"Brasil, Grande Região e Município";"Condição do produtor em relação às terras";"#";"Grupos de atividade econômica";"Tratores"
"4201307";"Araquari (SC)";"Total";"1";"Total";"157"
"4201406";"Araranguá (SC)";"Total";"1";"Total";"457"
"4201505";"Armazém (SC)";"Total";"1";"Total";"150"
"4201604";"Arroio Trinta (SC)";"Total";"1";"Total";"143"
"4201653";"Arvoredo (SC)";"Total";"1";"Total";"112"
"4201703";"Ascurra (SC)";"Total";"1";"Total";"91"
"4201802";"Atalanta (SC)";"Total";"1";"Total";"376"
"4201901";"Aurora (SC)";"Total";"1";"Total";"609"
"4201950";"Balneário Arroio do Silva (SC)";"Total";"1";"Total";"9"
"4202008";"Balneário Camboriú (SC)";"Total";"1";"Total";"-"
"4202057";"Balneário Barra do Sul (SC)";"Total";"1";"Total";"9"
"4202073";"Balneário Gaivota (SC)";"Total";"1";"Total";"49"
"4202081";"Bandeirante (SC)";"Total";"1";"Total";"122"
"4202099";"Barra Bonita (SC)";"Total";"1";"Total";"92"
"4202107";"Barra Velha (SC)";"Total";"1";"Total";"91"
"4202131";"Bela Vista do Toldo (SC)";"Total";"1";"Total";"702"
"4202156";"Belmonte (SC)";"Total";"1";"Total";"125"
"4202206";"Benedito Novo (SC)";"Total";"1";"Total";"235"
"4202305";"Biguaçu (SC)";"Total";"1";"Total";"186"
"4202404";"Blumenau (SC)";"Total";"1";"Total";"241"
"4202438";"Bocaina do Sul (SC)";"Total";"1";"Total";"158"
"4202453";"Bombinhas (SC)";"Total";"1";"Total";"2"
"4202503";"Bom Jardim da Serra (SC)";"Total";"1";"Total";"385"
"4202537";"Bom Jesus (SC)";"Total";"1";"Total";"80"
"4202578";"Bom Jesus do Oeste (SC)";"Total";"1";"Total";"112"
"4202602";"Bom Retiro (SC)";"Total";"1";"Total";"364"
"4202701";"Botuverá (SC)";"Total";"1";"Total";"109"
"4202800";"Braço do Norte (SC)";"Total";"1";"Total";"377"
"4202859";"Braço do Trombudo (SC)";"Total";"1";"Total";"185"
"4202875";"Brunópolis (SC)";"Total";"1";"Total";"266"
"4202909";"Brusque (SC)";"Total";"1";"Total";"26"
"4203006";"Caçador (SC)";"Total";"1";"Total";"685"
"4203105";"Caibi (SC)";"Total";"1";"Total";"280"
"4203154";"Calmon (SC)";"Total";"1";"Total";"102"
"4203204";"Camboriú (SC)";"Total";"1";"Total";"54"
"4203253";"Capão Alto (SC)";"Total";"1";"Total";"183"
"4203303";"Campo Alegre (SC)";"Total";"1";"Total";"366"
"4203402";"Campo Belo do Sul (SC)";"Total";"1";"Total";"203"
"4203501";"Campo Erê (SC)";"Total";"1";"Total";"170"
"4203600";"Campos Novos (SC)";"Total";"1";"Total";"691"
"4203709";"Canelinha (SC)";"Total";"1";"Total";"61"
"4203808";"Canoinhas (SC)";"Total";"1";"Total";"1799"
"4203907";"Capinzal (SC)";"Total";"1";"Total";"198"
"4203956";"Capivari de Baixo (SC)";"Total";"1";"Total";"15"
"4204004";"Catanduvas (SC)";"Total";"1";"Total";"102"
"4204103";"Caxambu do Sul (SC)";"Total";"1";"Total";"287"
"4204152";"Celso Ramos (SC)";"Total";"1";"Total";"224"
"4204178";"Cerro Negro (SC)";"Total";"1";"Total";"104"
"4204194";"Chapadão do Lageado (SC)";"Total";"1";"Total";"489"
"4204202";"Chapecó (SC)";"Total";"1";"Total";"591"
"4204251";"Cocal do Sul (SC)";"Total";"1";"Total";"79"
"4204301";"Concórdia (SC)";"Total";"1";"Total";"1056"
"4204350";"Cordilheira Alta (SC)";"Total";"1";"Total";"102"
"4204400";"Coronel Freitas (SC)";"Total";"1";"Total";"360"
"4204459";"Coronel Martins (SC)";"Total";"1";"Total";"155"
"4204509";"Corupá (SC)";"Total";"1";"Total";"514"
"4204558";"Correia Pinto (SC)";"Total";"1";"Total";"181"
"4204608";"Criciúma (SC)";"Total";"1";"Total";"285"
"4204707";"Cunha Porã (SC)";"Total";"1";"Total";"433"
"4204756";"Cunhataí (SC)";"Total";"1";"Total";"135"
"4204806";"Curitibanos (SC)";"Total";"1";"Total";"413"
"4204905";"Descanso (SC)";"Total";"1";"Total";"449"
"4205001";"Dionísio Cerqueira (SC)";"Total";"1";"Total";"294"
"4205100";"Dona Emma (SC)";"Total";"1";"Total";"248"
"4205159";"Doutor Pedrinho (SC)";"Total";"1";"Total";"183"
"4205175";"Entre Rios (SC)";"Total";"1";"Total";"49"
"4205191";"Ermo (SC)";"Total";"1";"Total";"117"
"4205209";"Erval Velho (SC)";"Total";"1";"Total";"178"
"4205308";"Faxinal dos Guedes (SC)";"Total";"1";"Total";"223"
"4205357";"Flor do Sertão (SC)";"Total";"1";"Total";"62"
"4205407";"Florianópolis (SC)";"Total";"1";"Total";"28"
"4205431";"Formosa do Sul (SC)";"Total";"1";"Total";"139"
"4205456";"Forquilhinha (SC)";"Total";"1";"Total";"313"
"4205506";"Fraiburgo (SC)";"Total";"1";"Total";"511"
"4205555";"Frei Rogério (SC)";"Total";"1";"Total";"258"
"4205605";"Galvão (SC)";"Total";"1";"Total";"152"
"4205704";"Garopaba (SC)";"Total";"1";"Total";"7"
"4205803";"Garuva (SC)";"Total";"1";"Total";"137"
"4205902";"Gaspar (SC)";"Total";"1";"Total";"232"
"4206009";"Governador Celso Ramos (SC)";"Total";"1";"Total";"13"
"4206108";"Grão-Pará (SC)";"Total";"1";"Total";"520"
"4206207";"Gravatal (SC)";"Total";"1";"Total";"42"
"4206306";"Guabiruba (SC)";"Total";"1";"Total";"90"
"4206405";"Guaraciaba (SC)";"Total";"1";"Total";"529"
"4206504";"Guaramirim (SC)";"Total";"1";"Total";"268"
"4206603";"Guarujá do Sul (SC)";"Total";"1";"Total";"118"
"4206652";"Guatambú (SC)";"Total";"1";"Total";"224"
"4206702";"Herval d'Oeste (SC)";"Total";"1";"Total";"241"
"4206751";"Ibiam (SC)";"Total";"1";"Total";"180"
"4206801";"Ibicaré (SC)";"Total";"1";"Total";"179"
"4206900";"Ibirama (SC)";"Total";"1";"Total";"298"
"4207007";"Içara (SC)";"Total";"1";"Total";"575"
"4207106";"Ilhota (SC)";"Total";"1";"Total";"143"
"4207205";"Imaruí (SC)";"Total";"1";"Total";"97"
"4207304";"Imbituba (SC)";"Total";"1";"Total";"36"
"4207403";"Imbuia (SC)";"Total";"1";"Total";"649"
"4207502";"Indaial (SC)";"Total";"1";"Total";"293"
"4207577";"Iomerê (SC)";"Total";"1";"Total";"245"
"4207601";"Ipira (SC)";"Total";"1";"Total";"184"
"4207650";"Iporã do Oeste (SC)";"Total";"1";"Total";"427"
"4207684";"Ipuaçu (SC)";"Total";"1";"Total";"218"
"4207700";"Ipumirim (SC)";"Total";"1";"Total";"324"
"4207759";"Iraceminha (SC)";"Total";"1";"Total";"307"
"4207809";"Irani (SC)";"Total";"1";"Total";"220"
"4207858";"Irati (SC)";"Total";"1";"Total";"76"
"4207908";"Irineópolis (SC)";"Total";"1";"Total";"1100"
"4208005";"Itá (SC)";"Total";"1";"Total";"170"
"4208104";"Itaiópolis (SC)";"Total";"1";"Total";"1606"
"4208203";"Itajaí (SC)";"Total";"1";"Total";"127"
"4208302";"Itapema (SC)";"Total";"1";"Total";"18"
"4208401";"Itapiranga (SC)";"Total";"1";"Total";"473"
"4208450";"Itapoá (SC)";"Total";"1";"Total";"32"
"4208500";"Ituporanga (SC)";"Total";"1";"Total";"1372"
"4208609";"Jaborá (SC)";"Total";"1";"Total";"282"
"4208708";"Jacinto Machado (SC)";"Total";"1";"Total";"523"
"4208807";"Jaguaruna (SC)";"Total";"1";"Total";"269"
"4208906";"Jaraguá do Sul (SC)";"Total";"1";"Total";"341"
"4208955";"Jardinópolis (SC)";"Total";"1";"Total";"92"
"4209003";"Joaçaba (SC)";"Total";"1";"Total";"340"
"4209102";"Joinville (SC)";"Total";"1";"Total";"578"
"4209151";"José Boiteux (SC)";"Total";"1";"Total";"325"
"4209177";"Jupiá (SC)";"Total";"1";"Total";"159"
"4209201";"Lacerdópolis (SC)";"Total";"1";"Total";"162"
"4209300";"Lages (SC)";"Total";"1";"Total";"452"
"4209409";"Laguna (SC)";"Total";"1";"Total";"28"
"4209458";"Lajeado Grande (SC)";"Total";"1";"Total";"112"
"4209508";"Laurentino (SC)";"Total";"1";"Total";"156"
"4209607";"Lauro Müller (SC)";"Total";"1";"Total";"142"
"4209706";"Lebon Régis (SC)";"Total";"1";"Total";"370"
"4209805";"Leoberto Leal (SC)";"Total";"1";"Total";"536"
"4209854";"Lindóia do Sul (SC)";"Total";"1";"Total";"277"
"4209904";"Lontras (SC)";"Total";"1";"Total";"306"
"4210001";"Luiz Alves (SC)";"Total";"1";"Total";"329"
"4210035";"Luzerna (SC)";"Total";"1";"Total";"140"
"4210050";"Macieira (SC)";"Total";"1";"Total";"150"
"4210100";"Mafra (SC)";"Total";"1";"Total";"1333"
"4210209";"Major Gercino (SC)";"Total";"1";"Total";"245"
"4210308";"Major Vieira (SC)";"Total";"1";"Total";"591"
"4210407";"Maracajá (SC)";"Total";"1";"Total";"107"
"4210506";"Maravilha (SC)";"Total";"1";"Total";"348"
"4210555";"Marema (SC)";"Total";"1";"Total";"199"
"4210605";"Massaranduba (SC)";"Total";"1";"Total";"631"
"4210704";"Matos Costa (SC)";"Total";"1";"Total";"100"
"4210803";"Meleiro (SC)";"Total";"1";"Total";"335"
"4210852";"Mirim Doce (SC)";"Total";"1";"Total";"170"
"4210902";"Modelo (SC)";"Total";"1";"Total";"143"
"4211009";"Mondaí (SC)";"Total";"1";"Total";"272"
"4211058";"Monte Carlo (SC)";"Total";"1";"Total";"96"
"4211108";"Monte Castelo (SC)";"Total";"1";"Total";"244"
"4211207";"Morro da Fumaça (SC)";"Total";"1";"Total";"118"
"4211256";"Morro Grande (SC)";"Total";"1";"Total";"221"
"4211306";"Navegantes (SC)";"Total";"1";"Total";"34"
"4211405";"Nova Erechim (SC)";"Total";"1";"Total";"166"
"4211454";"Nova Itaberaba (SC)";"Total";"1";"Total";"181"
"4211504";"Nova Trento (SC)";"Total";"1";"Total";"263"
"4211603";"Nova Veneza (SC)";"Total";"1";"Total";"293"
"4211652";"Novo Horizonte (SC)";"Total";"1";"Total";"167"
"4211702";"Orleans (SC)";"Total";"1";"Total";"594"
"4211751";"Otacílio Costa (SC)";"Total";"1";"Total";"184"
"4211801";"Ouro (SC)";"Total";"1";"Total";"440"
"4211850";"Ouro Verde (SC)";"Total";"1";"Total";"166"
"4211876";"Paial (SC)";"Total";"1";"Total";"95"
"4211892";"Painel (SC)";"Total";"1";"Total";"135"
"4211900";"Palhoça (SC)";"Total";"1";"Total";"37"
"4212007";"Palma Sola (SC)";"Total";"1";"Total";"157"
"4212056";"Palmeira (SC)";"Total";"1";"Total";"147"
"4212106";"Palmitos (SC)";"Total";"1";"Total";"689"
"4212205";"Papanduva (SC)";"Total";"1";"Total";"767"
"4212239";"Paraíso (SC)";"Total";"1";"Total";"191"
"4212254";"Passo de Torres (SC)";"Total";"1";"Total";"34"
"4212270";"Passos Maia (SC)";"Total";"1";"Total";"195"
"4212304";"Paulo Lopes (SC)";"Total";"1";"Total";"43"
"4212403";"Pedras Grandes (SC)";"Total";"1";"Total";"178"
"4212502";"Penha (SC)";"Total";"1";"Total";"18"
"4212601";"Peritiba (SC)";"Total";"1";"Total";"131"
"4212650";"Pescaria Brava (SC)";"Total";"1";"Total";"20"
"4212700";"Petrolândia (SC)";"Total";"1";"Total";"742"
"4212809";"Balneário Piçarras (SC)";"Total";"1";"Total";"65"
"4212908";"Pinhalzinho (SC)";"Total";"1";"Total";"280"
"4213005";"Pinheiro Preto (SC)";"Total";"1";"Total";"146"
"4213104";"Piratuba (SC)";"Total";"1";"Total";"151"
"4213153";"Planalto Alegre (SC)";"Total";"1";"Total";"133"
"4213203";"Pomerode (SC)";"Total";"1";"Total";"231"
"4213302";"Ponte Alta (SC)";"Total";"1";"Total";"124"
"4213351";"Ponte Alta do Norte (SC)";"Total";"1";"Total";"34"
"4213401";"Ponte Serrada (SC)";"Total";"1";"Total";"142"
"4213500";"Porto Belo (SC)";"Total";"1";"Total";"40"
"4213609";"Porto União (SC)";"Total";"1";"Total";"558"
"4213708";"Pouso Redondo (SC)";"Total";"1";"Total";"605"
"4213807";"Praia Grande (SC)";"Total";"1";"Total";"164"
"4213906";"Presidente Castello Branco (SC)";"Total";"1";"Total";"147"
"4214003";"Presidente Getúlio (SC)";"Total";"1";"Total";"590"
"4214102";"Presidente Nereu (SC)";"Total";"1";"Total";"252"
"4214151";"Princesa (SC)";"Total";"1";"Total";"167"
"4214201";"Quilombo (SC)";"Total";"1";"Total";"394"
"4214300";"Rancho Queimado (SC)";"Total";"1";"Total";"259"
"4214409";"Rio das Antas (SC)";"Total";"1";"Total";"427"
"4214508";"Rio do Campo (SC)";"Total";"1";"Total";"461"
"4214607";"Rio do Oeste (SC)";"Total";"1";"Total";"584"
"4214706";"Rio dos Cedros (SC)";"Total";"1";"Total";"229"
"4214805";"Rio do Sul (SC)";"Total";"1";"Total";"309"
"4214904";"Rio Fortuna (SC)";"Total";"1";"Total";"422"
"4215000";"Rio Negrinho (SC)";"Total";"1";"Total";"460"
"4215059";"Rio Rufino (SC)";"Total";"1";"Total";"155"
"4215075";"Riqueza (SC)";"Total";"1";"Total";"191"
"4215109";"Rodeio (SC)";"Total";"1";"Total";"159"
"4215208";"Romelândia (SC)";"Total";"1";"Total";"224"
"4215307";"Salete (SC)";"Total";"1";"Total";"323"
"4215356";"Saltinho (SC)";"Total";"1";"Total";"138"
"4215406";"Salto Veloso (SC)";"Total";"1";"Total";"117"
"4215455";"Sangão (SC)";"Total";"1";"Total";"88"
"4215505";"Santa Cecília (SC)";"Total";"1";"Total";"109"
"4215554";"Santa Helena (SC)";"Total";"1";"Total";"114"
"4215604";"Santa Rosa de Lima (SC)";"Total";"1";"Total";"195"
"4215653";"Santa Rosa do Sul (SC)";"Total";"1";"Total";"213"
"4215679";"Santa Terezinha (SC)";"Total";"1";"Total";"1364"
"4215687";"Santa Terezinha do Progresso (SC)";"Total";"1";"Total";"71"
"4215695";"Santiago do Sul (SC)";"Total";"1";"Total";"71"
"4215703";"Santo Amaro da Imperatriz (SC)";"Total";"1";"Total";"110"
"4215752";"São Bernardino (SC)";"Total";"1";"Total";"126"
"4215802";"São Bento do Sul (SC)";"Total";"1";"Total";"251"
"4215901";"São Bonifácio (SC)";"Total";"1";"Total";"239"
"4216008";"São Carlos (SC)";"Total";"1";"Total";"339"
"4216057";"São Cristóvão do Sul (SC)";"Total";"1";"Total";"46"
"4216107";"São Domingos (SC)";"Total";"1";"Total";"386"
"4216206";"São Francisco do Sul (SC)";"Total";"1";"Total";"49"
"4216255";"São João do Oeste (SC)";"Total";"1";"Total";"348"
"4216305";"São João Batista (SC)";"Total";"1";"Total";"92"
"4216354";"São João do Itaperiú (SC)";"Total";"1";"Total";"165"
"4216404";"São João do Sul (SC)";"Total";"1";"Total";"280"
"4216503";"São Joaquim (SC)";"Total";"1";"Total";"1464"
"4216602";"São José (SC)";"Total";"1";"Total";"19"
"4216701";"São José do Cedro (SC)";"Total";"1";"Total";"377"
"4216800";"São José do Cerrito (SC)";"Total";"1";"Total";"478"
"4216909";"São Lourenço do Oeste (SC)";"Total";"1";"Total";"460"
"4217006";"São Ludgero (SC)";"Total";"1";"Total";"158"
"4217105";"São Martinho (SC)";"Total";"1";"Total";"139"
"4217154";"São Miguel da Boa Vista (SC)";"Total";"1";"Total";"89"
"4217204";"São Miguel do Oeste (SC)";"Total";"1";"Total";"258"
"4217253";"São Pedro de Alcântara (SC)";"Total";"1";"Total";"67"
"4217303";"Saudades (SC)";"Total";"1";"Total";"375"
"4217402";"Schroeder (SC)";"Total";"1";"Total";"63"
"4217501";"Seara (SC)";"Total";"1";"Total";"427"
"4217550";"Serra Alta (SC)";"Total";"1";"Total";"153"
"4217600";"Siderópolis (SC)";"Total";"1";"Total";"202"
"4217709";"Sombrio (SC)";"Total";"1";"Total";"276"
"4217758";"Sul Brasil (SC)";"Total";"1";"Total";"133"
"4217808";"Taió (SC)";"Total";"1";"Total";"821"
"4217907";"Tangará (SC)";"Total";"1";"Total";"535"
"4217956";"Tigrinhos (SC)";"Total";"1";"Total";"65"
"4218004";"Tijucas (SC)";"Total";"1";"Total";"151"
"4218103";"Timbé do Sul (SC)";"Total";"1";"Total";"189"
"4218202";"Timbó (SC)";"Total";"1";"Total";"170"
"4218251";"Timbó Grande (SC)";"Total";"1";"Total";"94"
"4218301";"Três Barras (SC)";"Total";"1";"Total";"156"
"4218350";"Treviso (SC)";"Total";"1";"Total";"67"
"4218400";"Treze de Maio (SC)";"Total";"1";"Total";"279"
"4218509";"Treze Tílias (SC)";"Total";"1";"Total";"227"
"4218608";"Trombudo Central (SC)";"Total";"1";"Total";"179"
"4218707";"Tubarão (SC)";"Total";"1";"Total";"201"
"4218756";"Tunápolis (SC)";"Total";"1";"Total";"277"
"4218806";"Turvo (SC)";"Total";"1";"Total";"525"
"4218855";"União do Oeste (SC)";"Total";"1";"Total";"160"
"4218905";"Urubici (SC)";"Total";"1";"Total";"431"
"4218954";"Urupema (SC)";"Total";"1";"Total";"156"
"4219002";"Urussanga (SC)";"Total";"1";"Total";"225"
"4219101";"Vargeão (SC)";"Total";"1";"Total";"164"
"4219150";"Vargem (SC)";"Total";"1";"Total";"192"
"4219176";"Vargem Bonita (SC)";"Total";"1";"Total";"161"
"4219200";"Vidal Ramos (SC)";"Total";"1";"Total";"811"
"4219309";"Videira (SC)";"Total";"1";"Total";"722"
"4219358";"Vitor Meireles (SC)";"Total";"1";"Total";"461"
"4219408";"Witmarsum (SC)";"Total";"1";"Total";"384"
"4219507";"Xanxerê (SC)";"Total";"1";"Total";"286"
"4219606";"Xavantina (SC)";"Total";"1";"Total";"335"
"4219705";"Xaxim (SC)";"Total";"1";"Total";"523"
"4219853";"Zortéa (SC)";"Total";"1";"Total";"88"
"4220000";"Balneário Rincão (SC)";"Total";"1";"Total";"29"
"4300034";"Aceguá (RS)";"Total";"1";"Total";"364"
"4300059";"Água Santa (RS)";"Total";"1";"Total";"384"
"4300109";"Agudo (RS)";"Total";"1";"Total";"924"
"4300208";"Ajuricaba (RS)";"Total";"1";"Total";"535"
"4300307";"Alecrim (RS)";"Total";"1";"Total";"229"
"4300406";"Alegrete (RS)";"Total";"1";"Total";"1031"
"4300455";"Alegria (RS)";"Total";"1";"Total";"207"
"4300471";"Almirante Tamandaré do Sul (RS)";"Total";"1";"Total";"243"
"4300505";"Alpestre (RS)";"Total";"1";"Total";"392"
"4300554";"Alto Alegre (RS)";"Total";"1";"Total";"193"
"4300570";"Alto Feliz (RS)";"Total";"1";"Total";"165"
"4300604";"Alvorada (RS)";"Total";"1";"Total";"17"
"4300638";"Amaral Ferrador (RS)";"Total";"1";"Total";"734"
"4300646";"Ametista do Sul (RS)";"Total";"1";"Total";"55"
"4300661";"André da Rocha (RS)";"Total";"1";"Total";"117"
"4300703";"Anta Gorda (RS)";"Total";"1";"Total";"538"
"4300802";"Antônio Prado (RS)";"Total";"1";"Total";"839"
"4300851";"Arambaré (RS)";"Total";"1";"Total";"117"
"4300877";"Araricá (RS)";"Total";"1";"Total";"26"
"4300901";"Aratiba (RS)";"Total";"1";"Total";"294"
"4301008";"Arroio do Meio (RS)";"Total";"1";"Total";"387"
"4301057";"Arroio do Sal (RS)";"Total";"1";"Total";"29"
"4301073";"Arroio do Padre (RS)";"Total";"1";"Total";"340"
"4301107";"Arroio dos Ratos (RS)";"Total";"1";"Total";"166"
"4301206";"Arroio do Tigre (RS)";"Total";"1";"Total";"881"
"4301305";"Arroio Grande (RS)";"Total";"1";"Total";"371"
"4301404";"Arvorezinha (RS)";"Total";"1";"Total";"520"
"4301503";"Augusto Pestana (RS)";"Total";"1";"Total";"629"
"4301552";"Áurea (RS)";"Total";"1";"Total";"306"
"4301602";"Bagé (RS)";"Total";"1";"Total";"519"
"4301636";"Balneário Pinhal (RS)";"Total";"1";"Total";"13"
"4301651";"Barão (RS)";"Total";"1";"Total";"283"
"4301701";"Barão de Cotegipe (RS)";"Total";"1";"Total";"380"
"4301750";"Barão do Triunfo (RS)";"Total";"1";"Total";"984"
"4301800";"Barracão (RS)";"Total";"1";"Total";"331"
"4301859";"Barra do Guarita (RS)";"Total";"1";"Total";"38"
"4301875";"Barra do Quaraí (RS)";"Total";"1";"Total";"87"
"4301909";"Barra do Ribeiro (RS)";"Total";"1";"Total";"287"
"4301925";"Barra do Rio Azul (RS)";"Total";"1";"Total";"143"
"4301958";"Barra Funda (RS)";"Total";"1";"Total";"151"
"4302006";"Barros Cassal (RS)";"Total";"1";"Total";"386"
"4302055";"Benjamin Constant do Sul (RS)";"Total";"1";"Total";"80"
"4302105";"Bento Gonçalves (RS)";"Total";"1";"Total";"898"
"4302154";"Boa Vista das Missões (RS)";"Total";"1";"Total";"103"
"4302204";"Boa Vista do Buricá (RS)";"Total";"1";"Total";"221"
"4302220";"Boa Vista do Cadeado (RS)";"Total";"1";"Total";"311"
"4302238";"Boa Vista do Incra (RS)";"Total";"1";"Total";"255"
"4302253";"Boa Vista do Sul (RS)";"Total";"1";"Total";"233"
"4302303";"Bom Jesus (RS)";"Total";"1";"Total";"459"
"4302352";"Bom Princípio (RS)";"Total";"1";"Total";"278"
"4302378";"Bom Progresso (RS)";"Total";"1";"Total";"76"
"4302402";"Bom Retiro do Sul (RS)";"Total";"1";"Total";"119"
"4302451";"Boqueirão do Leão (RS)";"Total";"1";"Total";"419"
"4302501";"Bossoroca (RS)";"Total";"1";"Total";"340"
"4302584";"Bozano (RS)";"Total";"1";"Total";"244"
"4302600";"Braga (RS)";"Total";"1";"Total";"148"
"4302659";"Brochier (RS)";"Total";"1";"Total";"279"
"4302709";"Butiá (RS)";"Total";"1";"Total";"154"
"4302808";"Caçapava do Sul (RS)";"Total";"1";"Total";"761"
"4302907";"Cacequi (RS)";"Total";"1";"Total";"263"
"4303004";"Cachoeira do Sul (RS)";"Total";"1";"Total";"1257"
"4303103";"Cachoeirinha (RS)";"Total";"1";"Total";"6"
"4303202";"Cacique Doble (RS)";"Total";"1";"Total";"348"
"4303301";"Caibaté (RS)";"Total";"1";"Total";"181"
"4303400";"Caiçara (RS)";"Total";"1";"Total";"329"
"4303509";"Camaquã (RS)";"Total";"1";"Total";"1912"
"4303558";"Camargo (RS)";"Total";"1";"Total";"298"
"4303608";"Cambará do Sul (RS)";"Total";"1";"Total";"132"
"4303673";"Campestre da Serra (RS)";"Total";"1";"Total";"386"
"4303707";"Campina das Missões (RS)";"Total";"1";"Total";"440"
"4303806";"Campinas do Sul (RS)";"Total";"1";"Total";"233"
"4303905";"Campo Bom (RS)";"Total";"1";"Total";"43"
"4304002";"Campo Novo (RS)";"Total";"1";"Total";"132"
"4304101";"Campos Borges (RS)";"Total";"1";"Total";"221"
"4304200";"Candelária (RS)";"Total";"1";"Total";"1327"
"4304309";"Cândido Godói (RS)";"Total";"1";"Total";"609"
"4304358";"Candiota (RS)";"Total";"1";"Total";"214"
"4304408";"Canela (RS)";"Total";"1";"Total";"69"
"4304507";"Canguçu (RS)";"Total";"1";"Total";"3799"
"4304606";"Canoas (RS)";"Total";"1";"Total";"25"
"4304614";"Canudos do Vale (RS)";"Total";"1";"Total";"113"
"4304622";"Capão Bonito do Sul (RS)";"Total";"1";"Total";"154"
"4304630";"Capão da Canoa (RS)";"Total";"1";"Total";"16"
"4304655";"Capão do Cipó (RS)";"Total";"1";"Total";"203"
"4304663";"Capão do Leão (RS)";"Total";"1";"Total";"121"
"4304671";"Capivari do Sul (RS)";"Total";"1";"Total";"74"
"4304689";"Capela de Santana (RS)";"Total";"1";"Total";"181"
"4304697";"Capitão (RS)";"Total";"1";"Total";"108"
"4304705";"Carazinho (RS)";"Total";"1";"Total";"245"
"4304713";"Caraá (RS)";"Total";"1";"Total";"96"
"4304804";"Carlos Barbosa (RS)";"Total";"1";"Total";"500"
"4304853";"Carlos Gomes (RS)";"Total";"1";"Total";"116"
"4304903";"Casca (RS)";"Total";"1";"Total";"528"
"4304952";"Caseiros (RS)";"Total";"1";"Total";"200"
"4305009";"Catuípe (RS)";"Total";"1";"Total";"518"
"4305108";"Caxias do Sul (RS)";"Total";"1";"Total";"2057"
"4305116";"Centenário (RS)";"Total";"1";"Total";"274"
"4305124";"Cerrito (RS)";"Total";"1";"Total";"229"
"4305132";"Cerro Branco (RS)";"Total";"1";"Total";"250"
"4305157";"Cerro Grande (RS)";"Total";"1";"Total";"61"
"4305173";"Cerro Grande do Sul (RS)";"Total";"1";"Total";"776"
"4305207";"Cerro Largo (RS)";"Total";"1";"Total";"328"
"4305306";"Chapada (RS)";"Total";"1";"Total";"592"
"4305355";"Charqueadas (RS)";"Total";"1";"Total";"43"
"4305371";"Charrua (RS)";"Total";"1";"Total";"247"
"4305405";"Chiapetta (RS)";"Total";"1";"Total";"223"
"4305439";"Chuí (RS)";"Total";"1";"Total";"24"
"4305447";"Chuvisca (RS)";"Total";"1";"Total";"722"
"4305454";"Cidreira (RS)";"Total";"1";"Total";"37"
"4305504";"Ciríaco (RS)";"Total";"1";"Total";"305"
"4305587";"Colinas (RS)";"Total";"1";"Total";"140"
"4305603";"Colorado (RS)";"Total";"1";"Total";"302"
"4305702";"Condor (RS)";"Total";"1";"Total";"319"
"4305801";"Constantina (RS)";"Total";"1";"Total";"395"
"4305835";"Coqueiro Baixo (RS)";"Total";"1";"Total";"128"
"4305850";"Coqueiros do Sul (RS)";"Total";"1";"Total";"283"
"4305871";"Coronel Barros (RS)";"Total";"1";"Total";"272"
"4305900";"Coronel Bicaco (RS)";"Total";"1";"Total";"304"
"4305934";"Coronel Pilar (RS)";"Total";"1";"Total";"312"
"4305959";"Cotiporã (RS)";"Total";"1";"Total";"372"
"4305975";"Coxilha (RS)";"Total";"1";"Total";"187"
"4306007";"Crissiumal (RS)";"Total";"1";"Total";"564"
"4306056";"Cristal (RS)";"Total";"1";"Total";"413"
"4306072";"Cristal do Sul (RS)";"Total";"1";"Total";"56"
"4306106";"Cruz Alta (RS)";"Total";"1";"Total";"346"
"4306130";"Cruzaltense (RS)";"Total";"1";"Total";"253"
"4306205";"Cruzeiro do Sul (RS)";"Total";"1";"Total";"483"
"4306304";"David Canabarro (RS)";"Total";"1";"Total";"466"
"4306320";"Derrubadas (RS)";"Total";"1";"Total";"202"
"4306353";"Dezesseis de Novembro (RS)";"Total";"1";"Total";"114"
"4306379";"Dilermando de Aguiar (RS)";"Total";"1";"Total";"167"
"4306403";"Dois Irmãos (RS)";"Total";"1";"Total";"76"
"4306429";"Dois Irmãos das Missões (RS)";"Total";"1";"Total";"96"
"4306452";"Dois Lajeados (RS)";"Total";"1";"Total";"296"
"4306502";"Dom Feliciano (RS)";"Total";"1";"Total";"1673"
"4306551";"Dom Pedro de Alcântara (RS)";"Total";"1";"Total";"169"
"4306601";"Dom Pedrito (RS)";"Total";"1";"Total";"536"
"4306700";"Dona Francisca (RS)";"Total";"1";"Total";"215"
